
Intensity Min Ch=11 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
0,,Spot,11,Image 1,1,Untracked,1000025117,25117,
22.1131,,Spot,11,Image 1,1,Untracked,1000025125,25125,
35.802,,Spot,11,Image 1,1,Untracked,1000025126,25126,
3.58147,,Spot,11,Image 1,1,Untracked,1000025127,25127,
0,,Spot,11,Image 1,1,Untracked,1000025129,25129,
0,,Spot,11,Image 1,1,Untracked,1000025130,25130,
0,,Spot,11,Image 1,1,Untracked,1000025131,25131,
11.35,,Spot,11,Image 1,1,Untracked,1000025132,25132,
0,,Spot,11,Image 1,1,Untracked,1000025133,25133,
0,,Spot,11,Image 1,1,Untracked,1000025134,25134,
0,,Spot,11,Image 1,1,Untracked,1000025136,25136,
0,,Spot,11,Image 1,1,Untracked,1000025137,25137,
18.4815,,Spot,11,Image 1,1,Untracked,1000025138,25138,
0,,Spot,11,Image 1,1,Untracked,1000025139,25139,
7.17147,,Spot,11,Image 1,1,Untracked,1000025141,25141,
37.1097,,Spot,11,Image 1,1,Untracked,1000025145,25145,
34.8405,,Spot,11,Image 1,1,Untracked,1000025146,25146,
9.37839,,Spot,11,Image 1,1,Untracked,1000025147,25147,
12.514,,Spot,11,Image 1,1,Untracked,1000025150,25150,
24.3345,,Spot,11,Image 1,1,Untracked,1000025151,25151,
35.2396,,Spot,11,Image 1,1,Untracked,1000025152,25152,
48.4243,,Spot,11,Image 1,1,Untracked,1000025154,25154,
99.2752,,Spot,11,Image 1,1,Untracked,1000025155,25155,
65.8714,,Spot,11,Image 1,1,Untracked,1000025156,25156,
74.777,,Spot,11,Image 1,1,Untracked,1000025157,25157,
60.4858,,Spot,11,Image 1,1,Untracked,1000025158,25158,
71.882,,Spot,11,Image 1,1,Untracked,1000025159,25159,
39.4468,,Spot,11,Image 1,1,Untracked,1000025160,25160,
75.3966,,Spot,11,Image 1,1,Untracked,1000025161,25161,
50.2193,,Spot,11,Image 1,1,Untracked,1000025163,25163,
74.2663,,Spot,11,Image 1,1,Untracked,1000025164,25164,
89.4398,,Spot,11,Image 1,1,Untracked,1000025165,25165,
74.2526,,Spot,11,Image 1,1,Untracked,1000025167,25167,
89.6261,,Spot,11,Image 1,1,Untracked,1000025168,25168,
0,,Spot,11,Image 1,1,Untracked,1000025179,25179,
0,,Spot,11,Image 1,1,Untracked,1000025180,25180,
12.7809,,Spot,11,Image 1,1,Untracked,1000025181,25181,
0,,Spot,11,Image 1,1,Untracked,1000025182,25182,
14.4744,,Spot,11,Image 1,1,Untracked,1000025183,25183,
0,,Spot,11,Image 1,1,Untracked,1000025184,25184,
0.944546,,Spot,11,Image 1,1,Untracked,1000025185,25185,
0,,Spot,11,Image 1,1,Untracked,1000025186,25186,
3.00028,,Spot,11,Image 1,1,Untracked,1000025187,25187,
11.8117,,Spot,11,Image 1,1,Untracked,1000025188,25188,
0,,Spot,11,Image 1,1,Untracked,1000025189,25189,
29.4837,,Spot,11,Image 1,1,Untracked,1000025201,25201,
4.82455,,Spot,11,Image 1,1,Untracked,1000025202,25202,
11.7817,,Spot,11,Image 1,1,Untracked,1000025203,25203,
0,,Spot,11,Image 1,1,Untracked,1000025204,25204,
9.44546,,Spot,11,Image 1,1,Untracked,1000025205,25205,
23.7764,,Spot,11,Image 1,1,Untracked,1000025207,25207,
15.1127,,Spot,11,Image 1,1,Untracked,1000025208,25208,
47.8815,,Spot,11,Image 1,1,Untracked,1000025210,25210,
36.759,,Spot,11,Image 1,1,Untracked,1000025211,25211,
0,,Spot,11,Image 1,1,Untracked,1000025212,25212,
19.7956,,Spot,11,Image 1,1,Untracked,1000025213,25213,
35.4583,,Spot,11,Image 1,1,Untracked,1000025214,25214,
28.7933,,Spot,11,Image 1,1,Untracked,1000025216,25216,
30.3234,,Spot,11,Image 1,1,Untracked,1000025224,25224,
39.5993,,Spot,11,Image 1,1,Untracked,1000025226,25226,
11.1019,,Spot,11,Image 1,1,Untracked,1000025227,25227,
17.3497,,Spot,11,Image 1,1,Untracked,1000025229,25229,
40.0787,,Spot,11,Image 1,1,Untracked,1000025230,25230,
32.6836,,Spot,11,Image 1,1,Untracked,1000025232,25232,
13.6908,,Spot,11,Image 1,1,Untracked,1000025234,25234,
22.1661,,Spot,11,Image 1,1,Untracked,1000025236,25236,
14.9929,,Spot,11,Image 1,1,Untracked,1000025238,25238,
0,,Spot,11,Image 1,1,Untracked,1000025239,25239,
0.944546,,Spot,11,Image 1,1,Untracked,1000025241,25241,
22.6177,,Spot,11,Image 1,1,Untracked,1000025243,25243,
29.178,,Spot,11,Image 1,1,Untracked,1000025244,25244,
19.5142,,Spot,11,Image 1,1,Untracked,1000025254,25254,
38.7752,,Spot,11,Image 1,1,Untracked,1000025257,25257,
44.1862,,Spot,11,Image 1,1,Untracked,1000025261,25261,
33.7067,,Spot,11,Image 1,1,Untracked,1000025265,25265,
129.091,,Spot,11,Image 1,1,Untracked,1000025270,25270,
94.7413,,Spot,11,Image 1,1,Untracked,1000025271,25271,
83.3872,,Spot,11,Image 1,1,Untracked,1000025272,25272,
105.795,,Spot,11,Image 1,1,Untracked,1000025273,25273,
93.8814,,Spot,11,Image 1,1,Untracked,1000025276,25276,
109.985,,Spot,11,Image 1,1,Untracked,1000025277,25277,
120.922,,Spot,11,Image 1,1,Untracked,1000025279,25279,
62.2774,,Spot,11,Image 1,1,Untracked,1000025291,25291,
51.7716,,Spot,11,Image 1,1,Untracked,1000025314,25314,
111.756,,Spot,11,Image 1,1,Untracked,1000025355,25355,
0,,Spot,11,Image 1,1,Untracked,1000025915,25915,
0,,Spot,11,Image 1,1,Untracked,1000025916,25916,
0,,Spot,11,Image 1,1,Untracked,1000025917,25917,
0.944546,,Spot,11,Image 1,1,Untracked,1000025918,25918,
2.13092,,Spot,11,Image 1,1,Untracked,1000025919,25919,
0.944546,,Spot,11,Image 1,1,Untracked,1000025920,25920,
0,,Spot,11,Image 1,1,Untracked,1000025921,25921,
0,,Spot,11,Image 1,1,Untracked,1000025922,25922,
0,,Spot,11,Image 1,1,Untracked,1000025923,25923,
0,,Spot,11,Image 1,1,Untracked,1000025924,25924,
0,,Spot,11,Image 1,1,Untracked,1000025925,25925,
0,,Spot,11,Image 1,1,Untracked,1000025926,25926,
0,,Spot,11,Image 1,1,Untracked,1000025927,25927,
0,,Spot,11,Image 1,1,Untracked,1000025928,25928,
0,,Spot,11,Image 1,1,Untracked,1000025929,25929,
