
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,Set 1,TrackID,ID,
16.6719,um,Spot,3,Untracked,1000000031,7576,
8.23769,um,Spot,3,Untracked,1000000116,7577,
16.4121,um,Spot,3,Untracked,1000000032,7578,
16.2293,um,Spot,3,Untracked,1000000115,7579,
5.32362,um,Spot,3,Tracked,1000000127,7580,
16.8465,um,Spot,3,Untracked,1000000090,7581,
10.6865,um,Spot,3,Untracked,1000000129,7582,
7.84172,um,Spot,3,Tracked,1000000131,7583,
0,um,Spot,3,Untracked,1000007584,7584,
8.2624,um,Spot,3,Untracked,1000000141,7585,
3.66562,um,Spot,3,Untracked,1000000151,7586,
1.919,um,Spot,3,Untracked,1000000152,7587,
2.84613,um,Spot,3,Untracked,1000000153,7588,
4.89976,um,Spot,3,Untracked,1000000161,7589,
7.35619,um,Spot,3,Untracked,1000000158,7590,
11.5378,um,Spot,3,Untracked,1000000157,7591,
9.1956,um,Spot,3,Tracked,1000000168,7592,
8.34543,um,Spot,3,Tracked,1000000172,7593,
17.4218,um,Spot,3,Untracked,1000000106,7594,
14.3714,um,Spot,3,Untracked,1000007483,7595,
0,um,Spot,3,Untracked,1000007596,7596,
13.5931,um,Spot,3,Untracked,1000000183,7597,
9.37667,um,Spot,3,Untracked,1000000178,7598,
21.0542,um,Spot,3,Untracked,1000000173,7599,
12.1969,um,Spot,3,Untracked,1000007480,7600,
9.17677,um,Spot,3,Untracked,1000007482,7601,
22.9342,um,Spot,3,Untracked,1000000181,7602,
12.9768,um,Spot,3,Untracked,1000000187,7603,
12.2313,um,Spot,3,Untracked,1000000209,7604,
10.0452,um,Spot,3,Untracked,1000007486,7605,
9.82825,um,Spot,3,Untracked,1000007488,7606,
0,um,Spot,3,Untracked,1000007607,7607,
11.3982,um,Spot,3,Untracked,1000007489,7608,
15.7816,um,Spot,3,Untracked,1000000210,7609,
2.1675,um,Spot,3,Tracked,1000007327,7610,
16.7964,um,Spot,3,Tracked,1000007334,7611,
4.82638,um,Spot,3,Tracked,1000007341,7612,
4.56038,um,Spot,3,Tracked,1000007347,7613,
8.4446,um,Spot,3,Tracked,1000007354,7614,
5.65143,um,Spot,3,Tracked,1000007361,7615,
7.0267,um,Spot,3,Tracked,1000007367,7616,
15.6888,um,Spot,3,Tracked,1000007373,7617,
6.83041,um,Spot,3,Tracked,1000007379,7618,
3.51617,um,Spot,3,Tracked,1000007386,7619,
4.9096,um,Spot,3,Tracked,1000007392,7620,
11.7214,um,Spot,3,Tracked,1000007502,7621,
22.428,um,Spot,3,Tracked,1000007402,7622,
17.447,um,Spot,4,Untracked,1000000000,7623,
23.0133,um,Spot,4,Untracked,1000000002,7624,
25.2866,um,Spot,4,Untracked,1000000001,7625,
11.4766,um,Spot,4,Untracked,1000000009,7626,
3.63358,um,Spot,4,Tracked,1000000018,7627,
3.72574,um,Spot,4,Tracked,1000000024,7628,
7.10404,um,Spot,4,Tracked,1000000023,7629,
3.83275,um,Spot,4,Untracked,1000000025,7630,
10.76,um,Spot,4,Untracked,1000000026,7631,
5.25225,um,Spot,4,Untracked,1000000029,7632,
1.86756,um,Spot,4,Untracked,1000000037,7633,
12.756,um,Spot,4,Tracked,1000000040,7634,
