
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,Set 1,TrackID,ID,
4.25344,,Spot,2,Untracked,1000000143,5985,
9.81428,,Spot,2,Untracked,1000000258,5986,
0,,Spot,2,Untracked,1000005987,5987,
10.6353,,Spot,2,Untracked,1000000136,5988,
3.5995,,Spot,2,Untracked,1000000147,5989,
0,,Spot,2,Untracked,1000005990,5990,
8.85295,,Spot,2,Untracked,1000000157,5991,
8.39615,,Spot,2,Untracked,1000000153,5992,
8.85222,,Spot,2,Untracked,1000000149,5993,
7.68687,,Spot,2,Untracked,1000000159,5994,
7.61516,,Spot,2,Untracked,1000000161,5995,
7.64423,,Spot,2,Untracked,1000000162,5996,
11.5733,,Spot,2,Untracked,1000000156,5997,
0,,Spot,2,Untracked,1000005998,5998,
0,,Spot,2,Untracked,1000005999,5999,
0,,Spot,2,Untracked,1000006000,6000,
11.3744,,Spot,2,Untracked,1000000165,6001,
11.6441,,Spot,2,Untracked,1000000160,6002,
10.7005,,Spot,2,Untracked,1000000288,6003,
9.57648,,Spot,2,Untracked,1000000289,6004,
9.05035,,Spot,2,Untracked,1000000166,6005,
8.80217,,Spot,2,Untracked,1000000145,6006,
0,,Spot,2,Untracked,1000006007,6007,
11.1069,,Spot,2,Untracked,1000000169,6008,
12.4629,,Spot,2,Untracked,1000000170,6009,
10.8026,,Spot,2,Untracked,1000000172,6010,
11.199,,Spot,2,Untracked,1000000173,6011,
8.82919,,Spot,2,Untracked,1000000171,6012,
13.0757,,Spot,2,Untracked,1000000175,6013,
5.79494,,Spot,2,Untracked,1000000151,6014,
8.55506,,Spot,2,Untracked,1000000176,6015,
7.80771,,Spot,2,Untracked,1000000178,6016,
0,,Spot,2,Untracked,1000006017,6017,
11.0358,,Spot,2,Untracked,1000000193,6018,
12.221,,Spot,2,Untracked,1000000192,6019,
6.95279,,Spot,2,Untracked,1000000189,6020,
0,,Spot,2,Untracked,1000006021,6021,
10.3302,,Spot,2,Untracked,1000000339,6022,
6.52321,,Spot,2,Untracked,1000000216,6023,
8.36377,,Spot,2,Untracked,1000000232,6024,
12.6958,,Spot,2,Untracked,1000000255,6025,
9.57314,,Spot,2,Untracked,1000000261,6026,
10.1087,,Spot,2,Untracked,1000000263,6027,
7.10418,,Spot,2,Untracked,1000000262,6028,
11.4906,,Spot,2,Untracked,1000000265,6029,
9.04442,,Spot,2,Untracked,1000000269,6030,
7.15113,,Spot,2,Untracked,1000000257,6031,
0,,Spot,2,Untracked,1000006032,6032,
0,,Spot,2,Untracked,1000006033,6033,
11.36,,Spot,2,Untracked,1000000272,6034,
0,,Spot,2,Untracked,1000006035,6035,
13.9689,,Spot,2,Untracked,1000000271,6036,
11.137,,Spot,2,Untracked,1000000277,6037,
6.82333,,Spot,2,Untracked,1000000280,6038,
0,,Spot,2,Untracked,1000006039,6039,
10.0649,,Spot,2,Untracked,1000000279,6040,
9.81213,,Spot,2,Untracked,1000000285,6041,
8.19756,,Spot,2,Untracked,1000000281,6042,
0,,Spot,2,Untracked,1000006043,6043,
10.9548,,Spot,2,Untracked,1000000293,6044,
12.5233,,Spot,2,Untracked,1000000297,6045,
9.51765,,Spot,2,Untracked,1000000292,6046,
0,,Spot,2,Untracked,1000006047,6047,
0,,Spot,2,Untracked,1000006048,6048,
12.9905,,Spot,2,Untracked,1000000296,6049,
0,,Spot,2,Untracked,1000006050,6050,
12.7669,,Spot,2,Untracked,1000000291,6051,
12.3057,,Spot,2,Untracked,1000000304,6052,
0,,Spot,2,Untracked,1000006053,6053,
0,,Spot,2,Untracked,1000006054,6054,
9.90088,,Spot,2,Untracked,1000000303,6055,
0,,Spot,2,Untracked,1000006056,6056,
8.70304,,Spot,2,Untracked,1000000298,6057,
0,,Spot,2,Untracked,1000006058,6058,
0,,Spot,2,Untracked,1000006059,6059,
11.166,,Spot,2,Untracked,1000000307,6060,
7.86358,,Spot,2,Untracked,1000000300,6061,
10.0324,,Spot,2,Untracked,1000000309,6062,
9.53682,,Spot,2,Untracked,1000000310,6063,
0,,Spot,2,Untracked,1000006064,6064,
12.1252,,Spot,2,Untracked,1000000273,6065,
6.49053,,Spot,2,Untracked,1000000314,6066,
0,,Spot,2,Untracked,1000006067,6067,
11.2276,,Spot,2,Untracked,1000000398,6068,
0,,Spot,2,Untracked,1000006069,6069,
0,,Spot,2,Untracked,1000006070,6070,
11.5809,,Spot,2,Untracked,1000000324,6071,
9.15385,,Spot,2,Untracked,1000000330,6072,
12.7603,,Spot,2,Untracked,1000000332,6073,
0,,Spot,2,Untracked,1000006074,6074,
10.3352,,Spot,2,Untracked,1000000334,6075,
5.05225,,Spot,2,Untracked,1000000197,6076,
8.03293,,Spot,2,Untracked,1000000343,6077,
0,,Spot,2,Untracked,1000006078,6078,
7.4739,,Spot,2,Untracked,1000000352,6079,
0,,Spot,2,Untracked,1000006080,6080,
4.32901,,Spot,2,Untracked,1000000406,6081,
0,,Spot,2,Untracked,1000006082,6082,
0,,Spot,2,Untracked,1000006083,6083,
12.1609,,Spot,2,Untracked,1000000449,6084,
0,,Spot,2,Untracked,1000006085,6085,
7.67052,,Spot,2,Untracked,1000000422,6086,
10.4915,,Spot,2,Untracked,1000000424,6087,
0,,Spot,2,Untracked,1000006088,6088,
0,,Spot,2,Untracked,1000006089,6089,
11.944,,Spot,2,Untracked,1000000430,6090,
0,,Spot,2,Untracked,1000006091,6091,
9.94482,,Spot,2,Untracked,1000000433,6092,
0,,Spot,2,Untracked,1000006093,6093,
11.6877,,Spot,2,Untracked,1000000524,6094,
11.1711,,Spot,2,Untracked,1000000360,6095,
6.74452,,Spot,2,Untracked,1000000447,6096,
0,,Spot,2,Untracked,1000006097,6097,
7.49906,,Spot,2,Untracked,1000000448,6098,
10.2828,,Spot,2,Untracked,1000000452,6099,
12.2166,,Spot,2,Untracked,1000000484,6100,
6.93677,,Spot,2,Tracked,1000003140,6101,
1.08368,,Spot,2,Tracked,1000003149,6102,
2.01959,,Spot,2,Tracked,1000003158,6103,
4.16042,,Spot,2,Tracked,1000003167,6104,
0.583457,,Spot,2,Tracked,1000003176,6105,
4.11282,,Spot,2,Tracked,1000003185,6106,
3.53703,,Spot,2,Tracked,1000003194,6107,
4.2562,,Spot,2,Tracked,1000003203,6108,
4.73703,,Spot,2,Tracked,1000003212,6109,
0,,Spot,2,Tracked,1000003221,6110,
0,,Spot,2,Tracked,1000003230,6111,
2.79669,,Spot,2,Tracked,1000003239,6112,
2.30622,,Spot,2,Tracked,1000003248,6113,
8.81234,,Spot,2,Tracked,1000003266,6114,
9.74474,,Spot,2,Tracked,1000003275,6115,
8.42115,,Spot,2,Tracked,1000003284,6116,
6.97867,,Spot,2,Tracked,1000003293,6117,
5.43477,,Spot,2,Tracked,1000003302,6118,
4.81841,,Spot,2,Untracked,1000003311,6119,
6.16249,,Spot,2,Tracked,1000004300,6120,
4.33661,,Spot,2,Tracked,1000004309,6121,
3.90412,,Spot,2,Tracked,1000004318,6122,
5.84984,,Spot,2,Tracked,1000004327,6123,
5.24936,,Spot,2,Tracked,1000004340,6124,
2.11641,,Spot,2,Tracked,1000004347,6125,
6.24668,,Spot,2,Tracked,1000004364,6126,
6.0404,,Spot,2,Tracked,1000004373,6127,
2.57828,,Spot,2,Tracked,1000004382,6128,
6.3831,,Spot,2,Tracked,1000004391,6129,
1.59197,,Spot,2,Tracked,1000004400,6130,
4.38128,,Spot,2,Tracked,1000004409,6131,
9.13833,,Spot,2,Tracked,1000004418,6132,
5.86157,,Spot,2,Tracked,1000004427,6133,
6.68578,,Spot,2,Tracked,1000004436,6134,
6.61986,,Spot,2,Tracked,1000004445,6135,
5.60912,,Spot,2,Tracked,1000004454,6136,
19.71,,Spot,2,Tracked,1000004462,6137,
3.80275,,Spot,2,Tracked,1000004471,6138,
18.2136,,Spot,2,Tracked,1000004487,6139,
6.83338,,Spot,2,Tracked,1000004496,6140,
9.44614,,Spot,2,Tracked,1000004505,6141,
8.27604,,Spot,2,Tracked,1000004514,6142,
6.96116,,Spot,2,Tracked,1000004523,6143,
6.16892,,Spot,2,Tracked,1000004532,6144,
1.6923,,Spot,2,Tracked,1000004541,6145,
10.1982,,Spot,2,Tracked,1000004550,6146,
6.77013,,Spot,2,Tracked,1000004559,6147,
7.59419,,Spot,2,Tracked,1000004568,6148,
6.59691,,Spot,2,Tracked,1000004577,6149,
8.05963,,Spot,2,Tracked,1000004586,6150,
3.62867,,Spot,2,Untracked,1000004595,6151,
6.30307,,Spot,2,Tracked,1000004603,6152,
8.07841,,Spot,2,Untracked,1000004612,6153,
4.33769,,Spot,2,Tracked,1000004621,6154,
5.71517,,Spot,2,Tracked,1000004630,6155,
10.0705,,Spot,2,Tracked,1000004639,6156,
1.11074,,Spot,2,Tracked,1000004648,6157,
18.4809,,Spot,2,Tracked,1000004657,6158,
2.76617,,Spot,2,Tracked,1000004666,6159,
6.33947,,Spot,2,Tracked,1000005960,6160,
8.27602,,Spot,3,Untracked,1000000051,6161,
5.25173,,Spot,3,Untracked,1000005963,6162,
9.0205,,Spot,3,Untracked,1000000053,6163,
11.8564,,Spot,3,Untracked,1000005974,6164,
0,,Spot,3,Untracked,1000006165,6165,
7.68471,,Spot,3,Untracked,1000005964,6166,
8.16892,,Spot,3,Untracked,1000005965,6167,
10.629,,Spot,3,Untracked,1000000093,6168,
8.93424,,Spot,3,Untracked,1000000094,6169,
8.94639,,Spot,3,Untracked,1000000092,6170,
11.7633,,Spot,3,Untracked,1000000095,6171,
7.2851,,Spot,3,Untracked,1000005969,6172,
5.29596,,Spot,3,Untracked,1000000097,6173,
5.28862,,Spot,3,Untracked,1000000168,6174,
7.50093,,Spot,3,Untracked,1000000167,6175,
10.1382,,Spot,3,Untracked,1000000172,6176,
0,,Spot,3,Untracked,1000006177,6177,
10.1949,,Spot,3,Untracked,1000000117,6178,
6.25751,,Spot,3,Untracked,1000005978,6179,
6.66732,,Spot,3,Untracked,1000000139,6180,
4.18867,,Spot,3,Untracked,1000000188,6181,
5.98543,,Spot,3,Untracked,1000000140,6182,
4.12613,,Spot,3,Untracked,1000000198,6183,
5.56961,,Spot,3,Untracked,1000005980,6184,
5.72594,,Spot,3,Untracked,1000005981,6185,
6.6407,,Spot,3,Untracked,1000005987,6186,
6.16748,,Spot,3,Untracked,1000005984,6187,
7.51541,,Spot,3,Untracked,1000000151,6188,
6.63215,,Spot,3,Untracked,1000000153,6189,
0,,Spot,3,Untracked,1000006190,6190,
5.82761,,Spot,3,Untracked,1000005990,6191,
4.8846,,Spot,3,Untracked,1000000157,6192,
0,,Spot,3,Untracked,1000006193,6193,
3.73167,,Spot,3,Untracked,1000000149,6194,
6.76526,,Spot,3,Untracked,1000000136,6195,
6.39602,,Spot,3,Untracked,1000000160,6196,
11.6592,,Spot,3,Untracked,1000000150,6197,
4.15511,,Spot,3,Untracked,1000005999,6198,
6.4244,,Spot,3,Untracked,1000000162,6199,
4.10435,,Spot,3,Untracked,1000000156,6200,
7.56893,,Spot,3,Untracked,1000000154,6201,
5.39767,,Spot,3,Untracked,1000006000,6202,
4.77813,,Spot,3,Untracked,1000000258,6203,
4.05829,,Spot,3,Untracked,1000000288,6204,
5.79251,,Spot,3,Untracked,1000000289,6205,
7.33297,,Spot,3,Untracked,1000000261,6206,
2.12344,,Spot,3,Untracked,1000000169,6207,
5.78432,,Spot,3,Untracked,1000000173,6208,
9.26074,,Spot,3,Untracked,1000000175,6209,
6.71463,,Spot,3,Untracked,1000000171,6210,
9.21021,,Spot,3,Untracked,1000006007,6211,
4.83736,,Spot,3,Untracked,1000000176,6212,
7.801,,Spot,3,Untracked,1000000178,6213,
7.46542,,Spot,3,Untracked,1000006021,6214,
8.8939,,Spot,3,Untracked,1000000193,6215,
7.20702,,Spot,3,Untracked,1000000189,6216,
5.09807,,Spot,3,Untracked,1000000192,6217,
4.70153,,Spot,3,Untracked,1000000197,6218,
5.98576,,Spot,3,Untracked,1000000339,6219,
6.98508,,Spot,3,Untracked,1000000216,6220,
10.3112,,Spot,3,Untracked,1000006035,6221,
6.2497,,Spot,3,Untracked,1000000263,6222,
4.94428,,Spot,3,Untracked,1000000262,6223,
4.76501,,Spot,3,Untracked,1000000255,6224,
4.22254,,Spot,3,Untracked,1000000272,6225,
9.12936,,Spot,3,Untracked,1000006039,6226,
7.89809,,Spot,3,Untracked,1000000277,6227,
10.5209,,Spot,3,Untracked,1000000278,6228,
0,,Spot,3,Untracked,1000006229,6229,
0,,Spot,3,Untracked,1000006230,6230,
4.59956,,Spot,3,Untracked,1000000280,6231,
4.18218,,Spot,3,Untracked,1000000279,6232,
12.9196,,Spot,3,Untracked,1000006032,6233,
11.2239,,Spot,3,Untracked,1000006033,6234,
9.8158,,Spot,3,Untracked,1000000271,6235,
7.36829,,Spot,3,Untracked,1000000281,6236,
8.3242,,Spot,3,Untracked,1000000285,6237,
3.72213,,Spot,3,Untracked,1000006043,6238,
3.88268,,Spot,3,Untracked,1000000287,6239,
2.8724,,Spot,3,Untracked,1000000293,6240,
13.0991,,Spot,3,Untracked,1000000252,6241,
3.05065,,Spot,3,Untracked,1000000297,6242,
5.92863,,Spot,3,Untracked,1000000292,6243,
10.595,,Spot,3,Untracked,1000000298,6244,
4.64657,,Spot,3,Untracked,1000006048,6245,
4.31122,,Spot,3,Untracked,1000006053,6246,
3.39848,,Spot,3,Untracked,1000000296,6247,
1.66708,,Spot,3,Untracked,1000006047,6248,
9.3476,,Spot,3,Untracked,1000000314,6249,
0,,Spot,3,Untracked,1000006250,6250,
5.94702,,Spot,3,Untracked,1000000300,6251,
5.50235,,Spot,3,Untracked,1000006054,6252,
9.46762,,Spot,3,Untracked,1000006050,6253,
5.31588,,Spot,3,Untracked,1000000303,6254,
4.27705,,Spot,3,Untracked,1000006056,6255,
4.82789,,Spot,3,Untracked,1000006064,6256,
8.50989,,Spot,3,Untracked,1000000304,6257,
4.8486,,Spot,3,Untracked,1000000310,6258,
6.4071,,Spot,3,Untracked,1000006059,6259,
5.59622,,Spot,3,Untracked,1000006058,6260,
5.64384,,Spot,3,Untracked,1000000309,6261,
1.19219,,Spot,3,Untracked,1000006069,6262,
9.2131,,Spot,3,Untracked,1000006070,6263,
8.53322,,Spot,3,Untracked,1000000323,6264,
5.17906,,Spot,3,Untracked,1000000330,6265,
10.4486,,Spot,3,Untracked,1000006074,6266,
6.92966,,Spot,3,Untracked,1000000343,6267,
5.05852,,Spot,3,Untracked,1000006078,6268,
5.39107,,Spot,3,Untracked,1000000352,6269,
0,,Spot,3,Untracked,1000006270,6270,
7.18799,,Spot,3,Untracked,1000006080,6271,
4.09294,,Spot,3,Untracked,1000006083,6272,
0,,Spot,3,Untracked,1000006273,6273,
9.00511,,Spot,3,Untracked,1000006082,6274,
8.09683,,Spot,3,Untracked,1000006085,6275,
12.7515,,Spot,3,Untracked,1000000409,6276,
0,,Spot,3,Untracked,1000006277,6277,
4.80721,,Spot,3,Untracked,1000000398,6278,
0,,Spot,3,Untracked,1000006279,6279,
5.22923,,Spot,3,Untracked,1000006088,6280,
6.2665,,Spot,3,Untracked,1000000430,6281,
11.0071,,Spot,3,Untracked,1000000424,6282,
