
Intensity Min Ch=11 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
69.4216,,Spot,11,Image 1,2,Tracked,1000001193,1489,
56.2632,,Spot,11,Image 1,2,Tracked,1000001207,1490,
49.7457,,Spot,11,Image 1,2,Tracked,1000001235,1491,
55.0371,,Spot,11,Image 1,2,Tracked,1000001249,1492,
58.4894,,Spot,11,Image 1,2,Tracked,1000001263,1493,
56.8012,,Spot,11,Image 1,2,Tracked,1000001277,1494,
56.6889,,Spot,11,Image 1,2,Tracked,1000001291,1495,
40.264,,Spot,11,Image 1,2,Tracked,1000001305,1496,
51.2597,,Spot,11,Image 1,2,Tracked,1000001333,1497,
58.6292,,Spot,11,Image 1,2,Tracked,1000001347,1498,
52.2923,,Spot,11,Image 1,2,Tracked,1000001361,1499,
55.4352,,Spot,11,Image 1,2,Tracked,1000001375,1500,
52.5242,,Spot,11,Image 1,2,Tracked,1000001389,1501,
52.1458,,Spot,11,Image 1,2,Tracked,1000001403,1502,
207.137,,Spot,11,Image 1,3,Tracked,1000000000,1503,
220.573,,Spot,11,Image 1,3,Tracked,1000000013,1504,
241.086,,Spot,11,Image 1,3,Tracked,1000000026,1505,
263.443,,Spot,11,Image 1,3,Tracked,1000000039,1506,
192.107,,Spot,11,Image 1,3,Tracked,1000000052,1507,
191.491,,Spot,11,Image 1,3,Tracked,1000000066,1508,
170.192,,Spot,11,Image 1,3,Tracked,1000000080,1509,
164.17,,Spot,11,Image 1,3,Tracked,1000000094,1510,
159.651,,Spot,11,Image 1,3,Tracked,1000000108,1511,
168.098,,Spot,11,Image 1,3,Tracked,1000000122,1512,
179.77,,Spot,11,Image 1,3,Tracked,1000000135,1513,
161.253,,Spot,11,Image 1,3,Tracked,1000000148,1514,
151.038,,Spot,11,Image 1,3,Tracked,1000000162,1515,
140.761,,Spot,11,Image 1,3,Tracked,1000000176,1516,
172.103,,Spot,11,Image 1,3,Tracked,1000000190,1517,
204.056,,Spot,11,Image 1,3,Tracked,1000000203,1518,
194.078,,Spot,11,Image 1,3,Tracked,1000000216,1519,
141.774,,Spot,11,Image 1,3,Tracked,1000000230,1520,
134.377,,Spot,11,Image 1,3,Tracked,1000000244,1521,
112.972,,Spot,11,Image 1,3,Tracked,1000000259,1522,
140.054,,Spot,11,Image 1,3,Tracked,1000000273,1523,
143.791,,Spot,11,Image 1,3,Tracked,1000000287,1524,
169.956,,Spot,11,Image 1,3,Tracked,1000000302,1525,
169.089,,Spot,11,Image 1,3,Tracked,1000000314,1526,
157.138,,Spot,11,Image 1,3,Tracked,1000000325,1527,
156.449,,Spot,11,Image 1,3,Tracked,1000000338,1528,
141.612,,Spot,11,Image 1,3,Tracked,1000000358,1529,
129.502,,Spot,11,Image 1,3,Tracked,1000000371,1530,
127.182,,Spot,11,Image 1,3,Tracked,1000000385,1531,
112.5,,Spot,11,Image 1,3,Tracked,1000000400,1532,
126.402,,Spot,11,Image 1,3,Tracked,1000000414,1533,
135.483,,Spot,11,Image 1,3,Tracked,1000000428,1534,
125.478,,Spot,11,Image 1,3,Tracked,1000000442,1535,
121.095,,Spot,11,Image 1,3,Tracked,1000000479,1536,
118.247,,Spot,11,Image 1,3,Tracked,1000000493,1537,
105.02,,Spot,11,Image 1,3,Tracked,1000000507,1538,
88.8451,,Spot,11,Image 1,3,Tracked,1000000521,1539,
80.6045,,Spot,11,Image 1,3,Tracked,1000000535,1540,
113.435,,Spot,11,Image 1,3,Tracked,1000000549,1541,
139.442,,Spot,11,Image 1,3,Tracked,1000000563,1542,
133.819,,Spot,11,Image 1,3,Tracked,1000000577,1543,
127.989,,Spot,11,Image 1,3,Tracked,1000000590,1544,
113.932,,Spot,11,Image 1,3,Tracked,1000000604,1545,
109.405,,Spot,11,Image 1,3,Tracked,1000000618,1546,
101.328,,Spot,11,Image 1,3,Tracked,1000000632,1547,
132.566,,Spot,11,Image 1,3,Tracked,1000000646,1548,
140.511,,Spot,11,Image 1,3,Tracked,1000000664,1549,
120.134,,Spot,11,Image 1,3,Tracked,1000000678,1550,
124.878,,Spot,11,Image 1,3,Tracked,1000000692,1551,
165.455,,Spot,11,Image 1,3,Tracked,1000000701,1552,
160.278,,Spot,11,Image 1,3,Tracked,1000000706,1553,
174.217,,Spot,11,Image 1,3,Tracked,1000000724,1554,
86.9018,,Spot,11,Image 1,3,Tracked,1000000738,1555,
87.9546,,Spot,11,Image 1,3,Tracked,1000000752,1556,
77.719,,Spot,11,Image 1,3,Tracked,1000000766,1557,
44.4741,,Spot,11,Image 1,3,Tracked,1000000780,1558,
77.3378,,Spot,11,Image 1,3,Tracked,1000000794,1559,
63.3944,,Spot,11,Image 1,3,Tracked,1000000808,1560,
86.7332,,Spot,11,Image 1,3,Tracked,1000000822,1561,
62.0779,,Spot,11,Image 1,3,Tracked,1000000827,1562,
66.5951,,Spot,11,Image 1,3,Tracked,1000000841,1563,
67.555,,Spot,11,Image 1,3,Tracked,1000000869,1564,
63.3909,,Spot,11,Image 1,3,Tracked,1000000883,1565,
96.635,,Spot,11,Image 1,3,Tracked,1000000897,1566,
57.7159,,Spot,11,Image 1,3,Tracked,1000000911,1567,
68.8336,,Spot,11,Image 1,3,Tracked,1000000925,1568,
82.1233,,Spot,11,Image 1,3,Tracked,1000000939,1569,
70.89,,Spot,11,Image 1,3,Tracked,1000000953,1570,
71.7953,,Spot,11,Image 1,3,Tracked,1000000966,1571,
69.4469,,Spot,11,Image 1,3,Tracked,1000000980,1572,
56.3161,,Spot,11,Image 1,3,Tracked,1000000994,1573,
33.687,,Spot,11,Image 1,3,Tracked,1000001004,1574,
93.8432,,Spot,11,Image 1,3,Tracked,1000001018,1575,
