
Intensity Mean Ch=7 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,TrackID,ID,
133.337,,Spot,7,Image 1,3,Untracked,1000000063,6872,
75.2605,,Spot,7,Image 1,3,Untracked,1000006735,6873,
60.8071,,Spot,7,Image 1,3,Untracked,1000000065,6874,
162.317,,Spot,7,Image 1,3,Untracked,1000000068,6875,
86.7358,,Spot,7,Image 1,3,Untracked,1000000066,6876,
63.0444,,Spot,7,Image 1,3,,1000000073,6877,
69.6974,,Spot,7,Image 1,3,Untracked,1000006740,6878,
93.7273,,Spot,7,Image 1,3,,1000000082,6879,
54.1165,,Spot,7,Image 1,3,,1000000084,6880,
42.2717,,Spot,7,Image 1,3,,1000006881,6881,
51.0805,,Spot,7,Image 1,3,Untracked,1000000088,6882,
106.83,,Spot,7,Image 1,3,Untracked,1000000089,6883,
93.705,,Spot,7,Image 1,3,Tracked,1000000094,6884,
127.521,,Spot,7,Image 1,3,Untracked,1000000096,6885,
86.0349,,Spot,7,Image 1,3,Tracked,1000000102,6886,
109.504,,Spot,7,Image 1,3,Tracked,1000000005,6887,
94.685,,Spot,7,Image 1,3,Tracked,1000000105,6888,
111.508,,Spot,7,Image 1,3,Untracked,1000000014,6889,
115.38,,Spot,7,Image 1,3,Untracked,1000000106,6890,
94.2588,,Spot,7,Image 1,3,Untracked,1000000112,6891,
137.184,,Spot,7,Image 1,3,Untracked,1000000107,6892,
163.483,,Spot,7,Image 1,3,Untracked,1000000111,6893,
76.8093,,Spot,7,Image 1,3,Untracked,1000000108,6894,
98.5833,,Spot,7,Image 1,3,Untracked,1000000122,6895,
120.019,,Spot,7,Image 1,3,Untracked,1000006896,6896,
102.898,,Spot,7,Image 1,3,Untracked,1000000114,6897,
106.953,,Spot,7,Image 1,3,Untracked,1000000115,6898,
116.082,,Spot,7,Image 1,3,Untracked,1000000116,6899,
97.2782,,Spot,7,Image 1,3,Untracked,1000006811,6900,
217.75,,Spot,7,Image 1,3,Untracked,1000000020,6901,
89.7873,,Spot,7,Image 1,3,Tracked,1000000125,6902,
140.02,,Spot,7,Image 1,3,Tracked,1000000124,6903,
133.9,,Spot,7,Image 1,3,Tracked,1000000126,6904,
117.846,,Spot,7,Image 1,3,Tracked,1000000128,6905,
87.1061,,Spot,7,Image 1,3,Untracked,1000000127,6906,
88.4453,,Spot,7,Image 1,3,Tracked,1000000130,6907,
144.531,,Spot,7,Image 1,3,Tracked,1000000131,6908,
77.9316,,Spot,7,Image 1,3,Tracked,1000000023,6909,
147.481,,Spot,7,Image 1,3,Tracked,1000000134,6910,
112.939,,Spot,7,Image 1,3,Tracked,1000000133,6911,
95.9116,,Spot,7,Image 1,3,Tracked,1000000137,6912,
139.271,,Spot,7,Image 1,3,Tracked,1000000135,6913,
100.146,,Spot,7,Image 1,3,Tracked,1000000140,6914,
81.1073,,Spot,7,Image 1,3,Tracked,1000006777,6915,
121.553,,Spot,7,Image 1,3,Tracked,1000000139,6916,
82.5909,,Spot,7,Image 1,3,Tracked,1000000145,6917,
132.211,,Spot,7,Image 1,3,Untracked,1000000151,6918,
140.854,,Spot,7,Image 1,3,Untracked,1000000037,6919,
137.683,,Spot,7,Image 1,3,Untracked,1000000152,6920,
131.622,,Spot,7,Image 1,3,Untracked,1000000156,6921,
126.176,,Spot,7,Image 1,3,Untracked,1000000150,6922,
96.0992,,Spot,7,Image 1,3,Untracked,1000000155,6923,
117.046,,Spot,7,Image 1,3,Untracked,1000000159,6924,
119.721,,Spot,7,Image 1,3,Untracked,1000000162,6925,
135.396,,Spot,7,Image 1,3,Untracked,1000000161,6926,
144.161,,Spot,7,Image 1,3,Untracked,1000000163,6927,
107.376,,Spot,7,Image 1,3,Tracked,1000000051,6928,
112.637,,Spot,7,Image 1,3,,1000000172,6929,
107.143,,Spot,7,Image 1,3,Untracked,1000000175,6930,
166.845,,Spot,7,Image 1,3,Tracked,1000000179,6931,
90.7736,,Spot,7,Image 1,3,Tracked,1000000218,6932,
98.6236,,Spot,7,Image 1,3,Tracked,1000000191,6933,
117.05,,Spot,7,Image 1,3,Tracked,1000006794,6934,
93.9963,,Spot,7,Image 1,3,Tracked,1000000309,6935,
75.24,,Spot,7,Image 1,3,Untracked,1000000072,6936,
119.621,,Spot,7,Image 1,3,Untracked,1000000071,6937,
109.586,,Spot,7,Image 1,3,Untracked,1000000202,6938,
113.162,,Spot,7,Image 1,3,Untracked,1000006939,6939,
114.902,,Spot,7,Image 1,3,Untracked,1000000199,6940,
84.7396,,Spot,7,Image 1,3,Untracked,1000000201,6941,
97.1084,,Spot,7,Image 1,3,Untracked,1000000203,6942,
134.77,,Spot,7,Image 1,3,Untracked,1000006801,6943,
121.166,,Spot,7,Image 1,3,Untracked,1000000205,6944,
95.0568,,Spot,7,Image 1,3,Untracked,1000000208,6945,
133.758,,Spot,7,Image 1,3,Untracked,1000006946,6946,
147.098,,Spot,7,Image 1,3,Untracked,1000000212,6947,
96.0534,,Spot,7,Image 1,3,Tracked,1000000217,6948,
104.352,,Spot,7,Image 1,3,Tracked,1000000216,6949,
106.535,,Spot,7,Image 1,3,Untracked,1000000219,6950,
121.863,,Spot,7,Image 1,3,Untracked,1000006951,6951,
113.385,,Spot,7,Image 1,3,Untracked,1000000092,6952,
68.1515,,Spot,7,Image 1,3,Untracked,1000000091,6953,
85.6089,,Spot,7,Image 1,3,,1000006809,6954,
79.7072,,Spot,7,Image 1,3,,1000006955,6955,
97.6269,,Spot,7,Image 1,3,Untracked,1000000120,6956,
109.122,,Spot,7,Image 1,3,Untracked,1000000121,6957,
106.859,,Spot,7,Image 1,3,Untracked,1000000123,6958,
151.502,,Spot,7,Image 1,3,Untracked,1000000251,6959,
125.482,,Spot,7,Image 1,3,Untracked,1000000254,6960,
102.703,,Spot,7,Image 1,3,Untracked,1000006961,6961,
90.8674,,Spot,7,Image 1,3,Untracked,1000000257,6962,
87.6452,,Spot,7,Image 1,3,Untracked,1000000268,6963,
104.456,,Spot,7,Image 1,3,Tracked,1000000272,6964,
111.725,,Spot,7,Image 1,3,Untracked,1000000164,6965,
122.609,,Spot,7,Image 1,3,Untracked,1000000166,6966,
168.205,,Spot,7,Image 1,3,Untracked,1000000284,6967,
100.508,,Spot,7,Image 1,3,Untracked,1000000285,6968,
113.546,,Spot,7,Image 1,3,Untracked,1000000289,6969,
147.095,,Spot,7,Image 1,3,Tracked,1000006970,6970,
161.804,,Spot,7,Image 1,3,Untracked,1000006820,6971,
113.192,,Spot,7,Image 1,3,Untracked,1000000316,6972,
109.909,,Spot,7,Image 1,3,Untracked,1000000317,6973,
91.2961,,Spot,7,Image 1,3,Untracked,1000006824,6974,
83.1462,,Spot,7,Image 1,3,Untracked,1000000325,6975,
86.0301,,Spot,7,Image 1,3,Untracked,1000000324,6976,
112.868,,Spot,7,Image 1,3,Untracked,1000000323,6977,
85.3783,,Spot,7,Image 1,3,Tracked,1000006624,6978,
104.511,,Spot,7,Image 1,3,Tracked,1000006829,6979,
88.8519,,Spot,7,Image 1,3,Tracked,1000006651,6980,
89.4494,,Spot,7,Image 1,3,Tracked,1000006831,6981,
107.913,,Spot,7,Image 1,3,Tracked,1000006677,6982,
113.534,,Spot,7,Image 1,3,Tracked,1000006690,6983,
83.6856,,Spot,7,Image 1,3,Tracked,1000006703,6984,
47.8068,,Spot,7,Image 1,4,,1000006705,6985,
2.2377,,Spot,7,Image 1,4,,1000000003,6986,
2.74046,,Spot,7,Image 1,4,Untracked,1000000010,6987,
5.71705,,Spot,7,Image 1,4,Untracked,1000000012,6988,
0.742308,,Spot,7,Image 1,4,Untracked,1000000013,6989,
7.84231,,Spot,7,Image 1,4,Untracked,1000000014,6990,
2.49811,,Spot,7,Image 1,4,Untracked,1000000018,6991,
79.8794,,Spot,7,Image 1,4,Tracked,1000000021,6992,
10.3459,,Spot,7,Image 1,4,Tracked,1000000124,6993,
22.6926,,Spot,7,Image 1,4,Tracked,1000000022,6994,
0.606061,,Spot,7,Image 1,4,Tracked,1000000023,6995,
5.43511,,Spot,7,Image 1,4,Tracked,1000000134,6996,
8.05791,,Spot,7,Image 1,4,Untracked,1000006997,6997,
6.62452,,Spot,7,Image 1,4,Untracked,1000000024,6998,
4.21805,,Spot,7,Image 1,4,Untracked,1000000026,6999,
0.166038,,Spot,7,Image 1,4,Untracked,1000000028,7000,
6.90909,,Spot,7,Image 1,4,Untracked,1000006716,7001,
6.53125,,Spot,7,Image 1,4,Untracked,1000000029,7002,
2.39098,,Spot,7,Image 1,4,Untracked,1000000031,7003,
5.85606,,Spot,7,Image 1,4,Untracked,1000000038,7004,
