empty,,,,,,
Time,,,,,,
 ==================== ,,,,,,
Time,Unit,Category,Time,Set 1,TrackID,ID
0,,Spot,1,Untracked,1000000133,133
0,,Spot,1,Untracked,1000000134,134
0,,Spot,1,Untracked,1000000135,135
0,,Spot,1,Untracked,1000000136,136
0,,Spot,1,Untracked,1000000138,138
0,,Spot,1,Untracked,1000000139,139
0,,Spot,1,Untracked,1000000140,140
0,,Spot,1,Untracked,1000000141,141
0,,Spot,1,Untracked,1000000143,143
0,,Spot,1,Untracked,1000000144,144
0,,Spot,1,Untracked,1000000156,156
0,,Spot,1,Untracked,1000000157,157
0,,Spot,1,Untracked,1000000165,165
0,,Spot,1,Untracked,1000000169,169
0,,Spot,1,Untracked,1000000172,172
0,,Spot,1,Untracked,1000000174,174
0,,Spot,1,Untracked,1000000175,175
0,,Spot,1,Untracked,1000000186,186
0,,Spot,1,Untracked,1000000187,187
0,,Spot,1,Untracked,1000000188,188
0,,Spot,1,Untracked,1000000192,192
0,,Spot,1,Untracked,1000000193,193
0,,Spot,1,Untracked,1000000194,194
0,,Spot,1,Untracked,1000000195,195
0,,Spot,1,Untracked,1000000199,199
0,,Spot,1,Untracked,1000000200,200
0,,Spot,1,Untracked,1000000202,202
0,,Spot,1,Untracked,1000000203,203
0,,Spot,1,Untracked,1000000206,206
0,,Spot,1,Untracked,1000000208,208
0,,Spot,1,Untracked,1000000211,211
0,,Spot,1,Untracked,1000000212,212
0,,Spot,1,Untracked,1000000214,214
0,,Spot,1,Untracked,1000000215,215
0,,Spot,1,Untracked,1000000216,216
0,,Spot,1,Untracked,1000000217,217
0,,Spot,1,Untracked,1000000219,219
0,,Spot,1,Untracked,1000000221,221
0,,Spot,1,Untracked,1000000224,224
0,,Spot,1,Untracked,1000000227,227
0,,Spot,1,Untracked,1000000232,232
0,,Spot,1,Untracked,1000000233,233
0,,Spot,1,Untracked,1000000236,236
0,,Spot,1,Untracked,1000000237,237
0,,Spot,1,Untracked,1000000238,238
0,,Spot,1,Untracked,1000000239,239
0,,Spot,1,Untracked,1000000240,240
0,,Spot,1,Untracked,1000000242,242
0,,Spot,1,Untracked,1000000244,244
0,,Spot,1,Untracked,1000000245,245
0,,Spot,1,Untracked,1000000246,246
0,,Spot,1,Untracked,1000000248,248
0,,Spot,1,Untracked,1000000250,250
0,,Spot,1,Untracked,1000000251,251
0,,Spot,1,Untracked,1000000253,253
0,,Spot,1,Untracked,1000000254,254
0,,Spot,1,Untracked,1000000255,255
0,,Spot,1,Untracked,1000000258,258
0,,Spot,1,Untracked,1000000259,259
0,,Spot,1,Untracked,1000000260,260
0,,Spot,1,Untracked,1000000261,261
0,,Spot,1,Untracked,1000000262,262
0,,Spot,1,Untracked,1000000263,263
0,,Spot,1,Untracked,1000000265,265
0,,Spot,1,Untracked,1000000266,266
0,,Spot,1,Untracked,1000000268,268
0,,Spot,1,Untracked,1000000269,269
0,,Spot,1,Untracked,1000000270,270
0,,Spot,1,Untracked,1000000271,271
0,,Spot,1,Untracked,1000000273,273
0,,Spot,1,Untracked,1000000291,291
0,,Spot,1,Untracked,1000000297,297
0,,Spot,1,Untracked,1000000299,299
0,,Spot,1,Untracked,1000000301,301
0,,Spot,1,Untracked,1000000303,303
0,,Spot,1,Untracked,1000000304,304
0,,Spot,1,Untracked,1000000305,305
0,,Spot,1,Untracked,1000000306,306
0,,Spot,1,Untracked,1000000308,308
0,,Spot,1,Untracked,1000000309,309
0,,Spot,1,Untracked,1000000312,312
0,,Spot,1,Untracked,1000000314,314
0,,Spot,1,Untracked,1000000315,315
0,,Spot,1,Untracked,1000000318,318
0,,Spot,1,Untracked,1000000319,319
0,,Spot,1,Untracked,1000000321,321
0,,Spot,1,Untracked,1000000322,322
0,,Spot,1,Untracked,1000000328,328
0,,Spot,1,Untracked,1000000329,329
0,,Spot,1,Untracked,1000000334,334
0,,Spot,1,Untracked,1000000338,338
0,,Spot,1,Untracked,1000000340,340
0,,Spot,1,Untracked,1000000341,341
0,,Spot,1,Untracked,1000000342,342
0,,Spot,1,Untracked,1000000344,344
0,,Spot,1,Untracked,1000000347,347
0,,Spot,1,Untracked,1000000350,350
0,,Spot,1,Untracked,1000000351,351
