
Displacement^2
 ==================== 
Displacement^2,Unit,Category,Time,Set 1,TrackID,ID,
20.9171,um^2,Spot,3,,1000006705,6835,
57.9307,um^2,Spot,3,,1000000003,6836,
22.9922,um^2,Spot,3,Untracked,1000000011,6837,
29.1396,um^2,Spot,3,Untracked,1000000010,6838,
46.265,um^2,Spot,3,Untracked,1000000012,6839,
86.2822,um^2,Spot,3,Untracked,1000000013,6840,
28.8744,um^2,Spot,3,Tracked,1000000016,6841,
7.91261,um^2,Spot,3,Untracked,1000000018,6842,
11.7919,um^2,Spot,3,Tracked,1000000021,6843,
11.4283,um^2,Spot,3,Tracked,1000000022,6844,
48.9781,um^2,Spot,3,Untracked,1000000024,6845,
22.2906,um^2,Spot,3,Untracked,1000000026,6846,
88.2823,um^2,Spot,3,Untracked,1000000027,6847,
37.954,um^2,Spot,3,Untracked,1000000028,6848,
6.14893,um^2,Spot,3,Untracked,1000000029,6849,
6.76411,um^2,Spot,3,Untracked,1000006716,6850,
20.7627,um^2,Spot,3,Untracked,1000000033,6851,
19.0234,um^2,Spot,3,Untracked,1000000031,6852,
25.2429,um^2,Spot,3,Untracked,1000000038,6853,
53.2101,um^2,Spot,3,Untracked,1000000030,6854,
24.0106,um^2,Spot,3,Untracked,1000000034,6855,
6.50301,um^2,Spot,3,Tracked,1000000041,6856,
18.5692,um^2,Spot,3,Untracked,1000000042,6857,
0,um^2,Spot,3,Tracked,1000006858,6858,
8.39564,um^2,Spot,3,Tracked,1000000045,6859,
70.3561,um^2,Spot,3,Untracked,1000000044,6860,
7.17328,um^2,Spot,3,Untracked,1000000047,6861,
29.5132,um^2,Spot,3,Tracked,1000000046,6862,
10.5037,um^2,Spot,3,Untracked,1000000048,6863,
3.02198,um^2,Spot,3,Tracked,1000000052,6864,
2.96335,um^2,Spot,3,Tracked,1000000053,6865,
7.34939,um^2,Spot,3,Tracked,1000000054,6866,
24.706,um^2,Spot,3,Tracked,1000000178,6867,
9.00199,um^2,Spot,3,Tracked,1000000056,6868,
28.3552,um^2,Spot,3,Untracked,1000000061,6869,
3.03699,um^2,Spot,3,Untracked,1000006733,6870,
24.083,um^2,Spot,3,Untracked,1000000064,6871,
43.6061,um^2,Spot,3,Untracked,1000000063,6872,
89.5105,um^2,Spot,3,Untracked,1000006735,6873,
110.006,um^2,Spot,3,Untracked,1000000065,6874,
4.46806,um^2,Spot,3,Untracked,1000000068,6875,
108.237,um^2,Spot,3,Untracked,1000000066,6876,
1.80404,um^2,Spot,3,,1000000073,6877,
2.5593,um^2,Spot,3,Untracked,1000006740,6878,
49.5845,um^2,Spot,3,,1000000082,6879,
31.8015,um^2,Spot,3,,1000000084,6880,
0,um^2,Spot,3,,1000006881,6881,
81.3042,um^2,Spot,3,Untracked,1000000088,6882,
71.0929,um^2,Spot,3,Untracked,1000000089,6883,
61.1768,um^2,Spot,3,Tracked,1000000094,6884,
10.0196,um^2,Spot,3,Untracked,1000000096,6885,
20.0119,um^2,Spot,3,Tracked,1000000102,6886,
8.67428,um^2,Spot,3,Tracked,1000000005,6887,
20.644,um^2,Spot,3,Tracked,1000000105,6888,
130.687,um^2,Spot,3,Untracked,1000000014,6889,
27.2114,um^2,Spot,3,Untracked,1000000106,6890,
27.0568,um^2,Spot,3,Untracked,1000000112,6891,
121.178,um^2,Spot,3,Untracked,1000000107,6892,
34.8243,um^2,Spot,3,Untracked,1000000111,6893,
54.1465,um^2,Spot,3,Untracked,1000000108,6894,
96.4117,um^2,Spot,3,Untracked,1000000122,6895,
0,um^2,Spot,3,Untracked,1000006896,6896,
36.4097,um^2,Spot,3,Untracked,1000000114,6897,
56.9161,um^2,Spot,3,Untracked,1000000115,6898,
79.2753,um^2,Spot,3,Untracked,1000000116,6899,
40.5977,um^2,Spot,3,Untracked,1000006811,6900,
31.6281,um^2,Spot,3,Untracked,1000000020,6901,
36.3548,um^2,Spot,3,Tracked,1000000125,6902,
35.9122,um^2,Spot,3,Tracked,1000000124,6903,
6.71605,um^2,Spot,3,Tracked,1000000126,6904,
14.0511,um^2,Spot,3,Tracked,1000000128,6905,
50.6098,um^2,Spot,3,Untracked,1000000127,6906,
5.68454,um^2,Spot,3,Tracked,1000000130,6907,
64.4917,um^2,Spot,3,Tracked,1000000131,6908,
12.1497,um^2,Spot,3,Tracked,1000000023,6909,
15.7489,um^2,Spot,3,Tracked,1000000134,6910,
40.3906,um^2,Spot,3,Tracked,1000000133,6911,
108.026,um^2,Spot,3,Tracked,1000000137,6912,
11.0279,um^2,Spot,3,Tracked,1000000135,6913,
27.7019,um^2,Spot,3,Tracked,1000000140,6914,
18.9236,um^2,Spot,3,Tracked,1000006777,6915,
10.2777,um^2,Spot,3,Tracked,1000000139,6916,
13.8365,um^2,Spot,3,Tracked,1000000145,6917,
14.0321,um^2,Spot,3,Untracked,1000000151,6918,
48.5681,um^2,Spot,3,Untracked,1000000037,6919,
26.447,um^2,Spot,3,Untracked,1000000152,6920,
4.29806,um^2,Spot,3,Untracked,1000000156,6921,
179.742,um^2,Spot,3,Untracked,1000000150,6922,
68.8811,um^2,Spot,3,Untracked,1000000155,6923,
39.6503,um^2,Spot,3,Untracked,1000000159,6924,
31.4046,um^2,Spot,3,Untracked,1000000162,6925,
69.9068,um^2,Spot,3,Untracked,1000000161,6926,
17.4353,um^2,Spot,3,Untracked,1000000163,6927,
6.04955,um^2,Spot,3,Tracked,1000000051,6928,
41.4594,um^2,Spot,3,,1000000172,6929,
28.2816,um^2,Spot,3,Untracked,1000000175,6930,
22.8432,um^2,Spot,3,Tracked,1000000179,6931,
127.902,um^2,Spot,3,Tracked,1000000218,6932,
5.20315,um^2,Spot,3,Tracked,1000000191,6933,
16.1386,um^2,Spot,3,Tracked,1000006794,6934,
42.1791,um^2,Spot,3,Tracked,1000000309,6935,
85.7926,um^2,Spot,3,Untracked,1000000072,6936,
75.7899,um^2,Spot,3,Untracked,1000000071,6937,
27.3823,um^2,Spot,3,Untracked,1000000202,6938,
0,um^2,Spot,3,Untracked,1000006939,6939,
50.8766,um^2,Spot,3,Untracked,1000000199,6940,
45.0092,um^2,Spot,3,Untracked,1000000201,6941,
108.569,um^2,Spot,3,Untracked,1000000203,6942,
7.0399,um^2,Spot,3,Untracked,1000006801,6943,
