
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,Set 1,TrackID,ID,
0,um,Spot,1,Untrecked,1000000298,298,
0,um,Spot,1,Untrecked,1000000300,300,
0,um,Spot,1,,1000000301,301,
0,um,Spot,1,Untrecked,1000000302,302,
0,um,Spot,1,Untrecked,1000000303,303,
0,um,Spot,1,Untrecked,1000000311,311,
0,um,Spot,1,Untrecked,1000000314,314,
0,um,Spot,1,Untrecked,1000000315,315,
0,um,Spot,1,Untrecked,1000000317,317,
0,um,Spot,1,Untrecked,1000000326,326,
0,um,Spot,1,Untrecked,1000000327,327,
0,um,Spot,1,Untrecked,1000000329,329,
0,um,Spot,1,Untrecked,1000000330,330,
0,um,Spot,1,Untrecked,1000000351,351,
0,um,Spot,1,Untrecked,1000000359,359,
0,um,Spot,1,Untrecked,1000000367,367,
0,um,Spot,1,,1000007062,7062,
0,um,Spot,1,Tracked,1000007086,7086,
8.53691,um,Spot,2,Tracked,1000000045,7087,
3.6589,um,Spot,2,Untrecked,1000000005,7088,
4.58154,um,Spot,2,Tracked,1000000006,7089,
0,um,Spot,2,Tracked,1000007090,7090,
0,um,Spot,2,Tracked,1000007091,7091,
2.991,um,Spot,2,Tracked,1000000007,7092,
3.87312,um,Spot,2,Tracked,1000000088,7093,
3.85639,um,Spot,2,Tracked,1000000008,7094,
4.67469,um,Spot,2,Tracked,1000000089,7095,
0.594638,um,Spot,2,Tracked,1000000009,7096,
4.02727,um,Spot,2,Untrecked,1000000010,7097,
5.26112,um,Spot,2,Untrecked,1000000011,7098,
3.19011,um,Spot,2,Untrecked,1000000012,7099,
12.7026,um,Spot,2,Untrecked,1000000016,7100,
5.08566,um,Spot,2,Untrecked,1000000013,7101,
10.1573,um,Spot,2,Untrecked,1000000025,7102,
3.30871,um,Spot,2,,1000000018,7103,
4.23348,um,Spot,2,Untrecked,1000000019,7104,
1.20925,um,Spot,2,Untrecked,1000000028,7105,
3.48891,um,Spot,2,Untrecked,1000000027,7106,
3.36613,um,Spot,2,Untrecked,1000000030,7107,
0,um,Spot,2,Tracked,1000007108,7108,
0,um,Spot,2,,1000007109,7109,
0,um,Spot,2,Tracked,1000007110,7110,
6.13208,um,Spot,2,Tracked,1000000034,7111,
0,um,Spot,2,Tracked,1000007112,7112,
2.43495,um,Spot,2,Untrecked,1000000037,7113,
0,um,Spot,2,,1000007114,7114,
2.24306,um,Spot,2,Untrecked,1000000038,7115,
5.34841,um,Spot,2,Untrecked,1000000036,7116,
0,um,Spot,2,Untrecked,1000007117,7117,
4.89515,um,Spot,2,Tracked,1000000047,7118,
6.75965,um,Spot,2,Tracked,1000000049,7119,
3.87227,um,Spot,2,Tracked,1000000048,7120,
3.52421,um,Spot,2,Tracked,1000000046,7121,
0,um,Spot,2,Tracked,1000007122,7122,
3.25489,um,Spot,2,Tracked,1000000051,7123,
2.93636,um,Spot,2,Tracked,1000000052,7124,
1.94683,um,Spot,2,Tracked,1000000054,7125,
6.33777,um,Spot,2,Tracked,1000000178,7126,
4.89586,um,Spot,2,Tracked,1000000053,7127,
3.93731,um,Spot,2,Untrecked,1000000002,7128,
5.07338,um,Spot,2,Untrecked,1000000001,7129,
3.13543,um,Spot,2,Untrecked,1000000058,7130,
1.342,um,Spot,2,,1000000061,7131,
4.48179,um,Spot,2,Untrecked,1000000055,7132,
2.72673,um,Spot,2,Tracked,1000000057,7133,
5.5583,um,Spot,2,,1000000004,7134,
3.7855,um,Spot,2,Tracked,1000000064,7135,
2.5828,um,Spot,2,Untrecked,1000000056,7136,
1.04748,um,Spot,2,Untrecked,1000000063,7137,
0,um,Spot,2,Untrecked,1000007138,7138,
2.82365,um,Spot,2,Untrecked,1000000062,7139,
5.86762,um,Spot,2,Untrecked,1000000060,7140,
0,um,Spot,2,Tracked,1000007141,7141,
0,um,Spot,2,Untrecked,1000007142,7142,
1.07314,um,Spot,2,Tracked,1000000070,7143,
3.19299,um,Spot,2,Untrecked,1000000065,7144,
2.79746,um,Spot,2,Untrecked,1000000066,7145,
0.841476,um,Spot,2,Untrecked,1000000071,7146,
8.71185,um,Spot,2,Tracked,1000000081,7147,
0,um,Spot,2,,1000007148,7148,
2.51642,um,Spot,2,Tracked,1000000073,7149,
2.25966,um,Spot,2,,1000000078,7150,
0,um,Spot,2,Tracked,1000007151,7151,
0,um,Spot,2,Untrecked,1000007152,7152,
0,um,Spot,2,Untrecked,1000007153,7153,
2.55715,um,Spot,2,Untrecked,1000000068,7154,
1.30527,um,Spot,2,Untrecked,1000000079,7155,
5.35163,um,Spot,2,Untrecked,1000000003,7156,
0,um,Spot,2,Tracked,1000007157,7157,
2.87317,um,Spot,2,Tracked,1000000090,7158,
0,um,Spot,2,Tracked,1000007159,7159,
0,um,Spot,2,Tracked,1000007160,7160,
6.62314,um,Spot,2,Tracked,1000000092,7161,
0,um,Spot,2,Tracked,1000007162,7162,
4.86185,um,Spot,2,Tracked,1000000094,7163,
0.64065,um,Spot,2,Tracked,1000000097,7164,
1.17972,um,Spot,2,Tracked,1000000095,7165,
3.65525,um,Spot,2,Tracked,1000000096,7166,
0,um,Spot,2,Tracked,1000007167,7167,
0,um,Spot,2,Tracked,1000007168,7168,
0,um,Spot,2,Tracked,1000007169,7169,
3.25342,um,Spot,2,Tracked,1000000026,7170,
4.21858,um,Spot,2,,1000000017,7171,
0,um,Spot,2,Tracked,1000007172,7172,
0,um,Spot,2,Tracked,1000007173,7173,
3.69572,um,Spot,2,Untrecked,1000000022,7174,
0,um,Spot,2,Untrecked,1000007175,7175,
4.76389,um,Spot,2,Untrecked,1000000021,7176,
14.2726,um,Spot,2,Untrecked,1000000108,7177,
4.49044,um,Spot,2,Untrecked,1000000023,7178,
5.47547,um,Spot,2,Untrecked,1000000024,7179,
17.2313,um,Spot,2,Untrecked,1000000115,7180,
7.0662,um,Spot,2,Untrecked,1000000104,7181,
2.64257,um,Spot,2,Tracked,1000000105,7182,
0,um,Spot,2,Tracked,1000007183,7183,
0,um,Spot,2,Untrecked,1000007184,7184,
0,um,Spot,2,Untrecked,1000007185,7185,
2.04663,um,Spot,2,Tracked,1000000116,7186,
2.81221,um,Spot,2,,1000000113,7187,
13.8772,um,Spot,2,Untrecked,1000000114,7188,
0,um,Spot,2,Untrecked,1000007189,7189,
3.42786,um,Spot,2,Untrecked,1000000111,7190,
10.3821,um,Spot,2,Untrecked,1000000117,7191,
6.4707,um,Spot,2,Untrecked,1000000112,7192,
3.46592,um,Spot,2,Untrecked,1000000118,7193,
7.02597,um,Spot,2,Untrecked,1000000029,7194,
19.9983,um,Spot,2,Untrecked,1000000120,7195,
0,um,Spot,2,Untrecked,1000007196,7196,
2.64794,um,Spot,2,Untrecked,1000000125,7197,
6.83478,um,Spot,2,Untrecked,1000000124,7198,
3.01898,um,Spot,2,,1000000127,7199,
2.57485,um,Spot,2,Untrecked,1000000130,7200,
0,um,Spot,2,Untrecked,1000007201,7201,
4.48007,um,Spot,2,Untrecked,1000000128,7202,
5.509,um,Spot,2,Untrecked,1000000129,7203,
0,um,Spot,2,Untrecked,1000007204,7204,
0,um,Spot,2,Untrecked,1000007205,7205,
2.84897,um,Spot,2,,1000000133,7206,
5.02751,um,Spot,2,Untrecked,1000000136,7207,
5.09274,um,Spot,2,Untrecked,1000000137,7208,
6.47469,um,Spot,2,Untrecked,1000000138,7209,
