
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
5270.43,µm,Spot,Distance from Origin,1,1941,
5266.52,µm,Spot,Distance from Origin,1,1943,
5278.5,µm,Spot,Distance from Origin,1,1945,
5256.71,µm,Spot,Distance from Origin,1,1947,
5261.69,µm,Spot,Distance from Origin,1,1948,
5244.92,µm,Spot,Distance from Origin,1,1952,
5274.74,µm,Spot,Distance from Origin,1,1954,
5283.04,µm,Spot,Distance from Origin,1,1956,
5240.75,µm,Spot,Distance from Origin,1,1957,
5290.5,µm,Spot,Distance from Origin,1,1963,
5267.19,µm,Spot,Distance from Origin,1,1974,
5279.1,µm,Spot,Distance from Origin,1,1976,
5267.45,µm,Spot,Distance from Origin,1,1983,
5271.16,µm,Spot,Distance from Origin,1,1985,
5303.13,µm,Spot,Distance from Origin,1,1990,
5297.05,µm,Spot,Distance from Origin,1,2000,
5328.56,µm,Spot,Distance from Origin,1,2004,
5310.26,µm,Spot,Distance from Origin,1,2005,
5304.65,µm,Spot,Distance from Origin,1,2007,
5297.18,µm,Spot,Distance from Origin,1,2008,
5328.4,µm,Spot,Distance from Origin,1,2014,
5158.78,µm,Spot,Distance from Origin,1,2034,
5158.11,µm,Spot,Distance from Origin,1,2037,
5155.16,µm,Spot,Distance from Origin,1,2038,
5170.1,µm,Spot,Distance from Origin,1,2042,
5171.36,µm,Spot,Distance from Origin,1,2043,
5150.16,µm,Spot,Distance from Origin,1,2044,
5150.52,µm,Spot,Distance from Origin,1,2045,
5154.43,µm,Spot,Distance from Origin,1,2052,
5171.82,µm,Spot,Distance from Origin,1,2053,
5170,µm,Spot,Distance from Origin,1,2054,
5164.64,µm,Spot,Distance from Origin,1,2055,
5171.18,µm,Spot,Distance from Origin,1,2057,
5165.93,µm,Spot,Distance from Origin,1,2058,
5180.97,µm,Spot,Distance from Origin,1,2060,
5160.8,µm,Spot,Distance from Origin,1,2061,
5196.61,µm,Spot,Distance from Origin,1,2072,
5167.55,µm,Spot,Distance from Origin,1,2073,
5178.88,µm,Spot,Distance from Origin,1,2078,
5190.46,µm,Spot,Distance from Origin,1,2085,
5215.59,µm,Spot,Distance from Origin,1,2098,
5232.22,µm,Spot,Distance from Origin,1,2102,
5244.56,µm,Spot,Distance from Origin,1,2103,
5283.84,µm,Spot,Distance from Origin,1,2148,
5316.15,µm,Spot,Distance from Origin,1,2177,
5181.64,µm,Spot,Distance from Origin,1,2189,
5180.81,µm,Spot,Distance from Origin,1,2191,
5169,µm,Spot,Distance from Origin,1,2193,
5169.04,µm,Spot,Distance from Origin,1,2194,
5177.14,µm,Spot,Distance from Origin,1,2196,
5165.81,µm,Spot,Distance from Origin,1,2197,
5164.04,µm,Spot,Distance from Origin,1,2198,
5169.24,µm,Spot,Distance from Origin,1,2199,
5166.26,µm,Spot,Distance from Origin,1,2200,
5188.89,µm,Spot,Distance from Origin,1,2201,
5172.2,µm,Spot,Distance from Origin,1,2203,
5168.77,µm,Spot,Distance from Origin,1,2211,
5195.12,µm,Spot,Distance from Origin,1,2212,
