
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,ID,
9.14014,µm,Spot,8,17669,
9.14014,µm,Spot,8,17673,
24.3438,µm,Spot,8,17677,
40.5422,µm,Spot,8,17679,
31.9468,µm,Spot,8,17688,
28.3072,µm,Spot,8,17701,
37.1619,µm,Spot,8,17706,
23.3592,µm,Spot,8,17713,
15.6358,µm,Spot,8,17757,
19.4463,µm,Spot,8,17762,
17.8749,µm,Spot,8,17764,
23.0115,µm,Spot,8,17767,
17.9725,µm,Spot,8,17770,
11.8847,µm,Spot,8,17771,
11.8847,µm,Spot,8,17773,
21.8475,µm,Spot,8,17777,
19.1248,µm,Spot,8,17778,
23.0115,µm,Spot,8,17779,
24.3879,µm,Spot,8,17783,
17.2839,µm,Spot,8,17789,
30.686,µm,Spot,8,17803,
24.3707,µm,Spot,8,17842,
16.5983,µm,Spot,8,17843,
22.8024,µm,Spot,8,17844,
16.5983,µm,Spot,8,17850,
22.8024,µm,Spot,8,17854,
29.1093,µm,Spot,8,17882,
49.8995,µm,Spot,8,17953,
60.5764,µm,Spot,8,17980,
31.6525,µm,Spot,8,17990,
46.2543,µm,Spot,8,18039,
19.1248,µm,Spot,8,18055,
76.781,µm,Spot,9,18277,
36.8905,µm,Spot,9,18309,
28.2054,µm,Spot,9,18331,
39.9079,µm,Spot,9,18335,
27.938,µm,Spot,9,18336,
42.2627,µm,Spot,9,18353,
31.7569,µm,Spot,9,18385,
31.2167,µm,Spot,9,18390,
19.4952,µm,Spot,9,18402,
19.4952,µm,Spot,9,18418,
23.1193,µm,Spot,9,18423,
30.8932,µm,Spot,9,18436,
30.4911,µm,Spot,9,18501,
13.5924,µm,Spot,9,18520,
24.1426,µm,Spot,9,18523,
27.0781,µm,Spot,9,18527,
24.136,µm,Spot,9,18533,
9.07833,µm,Spot,9,18534,
9.07833,µm,Spot,9,18535,
27.6314,µm,Spot,9,18536,
27.5623,µm,Spot,9,18541,
24.136,µm,Spot,9,18550,
24.4176,µm,Spot,9,18551,
22.4313,µm,Spot,9,18552,
22.4313,µm,Spot,9,18557,
30.1682,µm,Spot,9,18560,
22.7219,µm,Spot,9,18575,
40.9085,µm,Spot,9,18614,
31.3902,µm,Spot,9,18616,
37.5874,µm,Spot,9,18619,
41.3619,µm,Spot,9,18624,
44.4672,µm,Spot,9,18631,
35.2157,µm,Spot,9,18634,
20.2987,µm,Spot,9,18641,
25.5735,µm,Spot,9,18655,
10.0973,µm,Spot,9,18675,
10.0973,µm,Spot,9,18676,
18.2171,µm,Spot,9,18679,
10.5293,µm,Spot,9,18680,
10.5293,µm,Spot,9,18681,
22.6264,µm,Spot,9,18682,
35.3522,µm,Spot,9,18691,
12.432,µm,Spot,9,18694,
31.3902,µm,Spot,9,18698,
25.9362,µm,Spot,9,18700,
106.046,µm,Spot,9,18706,
16.4027,µm,Spot,9,18743,
25.1587,µm,Spot,9,18744,
23.8472,µm,Spot,9,18748,
20.7845,µm,Spot,9,18749,
27.2236,µm,Spot,9,18751,
35.712,µm,Spot,9,18756,
27.2236,µm,Spot,9,18757,
18.8615,µm,Spot,9,18759,
16.4027,µm,Spot,9,18763,
20.7845,µm,Spot,9,18764,
12.444,µm,Spot,9,18770,
28.5925,µm,Spot,9,18771,
28.1754,µm,Spot,9,18772,
12.444,µm,Spot,9,18774,
13.7342,µm,Spot,9,18777,
13.7342,µm,Spot,9,18781,
17.1255,µm,Spot,9,18782,
21.9232,µm,Spot,9,18784,
30.3781,µm,Spot,9,18788,
26.5584,µm,Spot,9,18804,
15.9634,µm,Spot,9,18807,
34.8873,µm,Spot,9,18813,
16.7179,µm,Spot,9,18814,
31.0685,µm,Spot,9,18815,
35.9977,µm,Spot,9,18828,
16.7179,µm,Spot,9,18831,
15.9634,µm,Spot,9,18832,
18.1318,µm,Spot,9,18836,
25.879,µm,Spot,9,18840,
35.9493,µm,Spot,9,18841,
45.0563,µm,Spot,9,18847,
32.0848,µm,Spot,9,18858,
30.1667,µm,Spot,9,18877,
37.5595,µm,Spot,9,18887,
30.1667,µm,Spot,9,18889,
26.6105,µm,Spot,9,18900,
17.0256,µm,Spot,9,18906,
18.8969,µm,Spot,9,18908,
33.141,µm,Spot,9,18910,
22.1319,µm,Spot,9,18913,
18.7344,µm,Spot,9,18915,
13.2676,µm,Spot,9,18917,
15.11,µm,Spot,9,18918,
13.2676,µm,Spot,9,18925,
9.66267,µm,Spot,9,18930,
15.11,µm,Spot,9,18931,
12.1084,µm,Spot,9,18934,
12.1084,µm,Spot,9,18936,
17.0256,µm,Spot,9,18939,
17.3454,µm,Spot,9,18944,
25.0934,µm,Spot,9,18950,
18.8941,µm,Spot,9,18955,
33.3149,µm,Spot,9,18957,
17.3454,µm,Spot,9,18959,
21.1482,µm,Spot,9,18991,
36.8556,µm,Spot,9,19003,
28.5272,µm,Spot,9,19024,
9.66267,µm,Spot,9,19033,
41.9337,µm,Spot,9,19045,
23.2691,µm,Spot,9,19087,
36.8905,µm,Spot,9,19098,
26.4256,µm,Spot,9,19109,
22.0953,µm,Spot,9,19139,
53.8969,µm,Spot,9,19142,
17.0929,µm,Spot,9,19151,
15.5737,µm,Spot,9,19160,
29.3665,µm,Spot,9,19162,
24.4346,µm,Spot,9,19163,
15.5737,µm,Spot,9,19174,
23.6874,µm,Spot,9,19176,
23.6584,µm,Spot,9,19183,
21.3259,µm,Spot,9,19199,
26.8222,µm,Spot,9,19208,
31.3926,µm,Spot,9,19230,
18.4004,µm,Spot,9,19239,
15.2266,µm,Spot,9,19247,
18.4004,µm,Spot,9,19250,
39.741,µm,Spot,9,19256,
18.5385,µm,Spot,9,19266,
13.8905,µm,Spot,9,19272,
26.3659,µm,Spot,9,19277,
26.041,µm,Spot,9,19282,
25.8361,µm,Spot,9,19283,
11.4413,µm,Spot,9,19284,
10.3739,µm,Spot,9,19289,
11.4413,µm,Spot,9,19292,
10.3739,µm,Spot,9,19293,
14.914,µm,Spot,9,19295,
31.2167,µm,Spot,9,19296,
18.5385,µm,Spot,9,19312,
30.2178,µm,Spot,9,19316,
26.4256,µm,Spot,9,19317,
23.1193,µm,Spot,9,19319,
39.57,µm,Spot,9,19332,
10.044,µm,Spot,9,19348,
9.84271,µm,Spot,9,19349,
19.8826,µm,Spot,9,19350,
10.044,µm,Spot,9,19355,
9.84271,µm,Spot,9,19356,
18.8425,µm,Spot,9,19359,
13.2267,µm,Spot,9,19361,
30.6767,µm,Spot,9,19362,
13.2267,µm,Spot,9,19369,
16.0191,µm,Spot,9,19372,
36.5346,µm,Spot,9,19378,
28.6088,µm,Spot,9,19380,
16.0191,µm,Spot,9,19389,
21.5878,µm,Spot,9,19390,
25.8002,µm,Spot,9,19394,
18.2761,µm,Spot,9,19395,
18.6971,µm,Spot,9,19400,
20.1994,µm,Spot,9,19401,
21.3259,µm,Spot,9,19402,
15.6386,µm,Spot,9,19428,
18.2615,µm,Spot,9,19430,
15.6386,µm,Spot,9,19431,
21.8789,µm,Spot,9,19432,
22.1001,µm,Spot,9,19439,
24.1426,µm,Spot,9,19445,
23.0957,µm,Spot,9,19447,
17.0539,µm,Spot,9,19449,
