
Intensity Center Ch=7 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
482,,Spot,7,Image 1,1,1389,
1346,,Spot,7,Image 1,1,1390,
974,,Spot,7,Image 1,1,1392,
1068,,Spot,7,Image 1,1,1399,
787,,Spot,7,Image 1,1,1402,
364,,Spot,7,Image 1,1,1406,
1387,,Spot,7,Image 1,1,1410,
1121,,Spot,7,Image 1,1,1411,
1245,,Spot,7,Image 1,1,1415,
535,,Spot,7,Image 1,1,1420,
817,,Spot,7,Image 1,1,1435,
1526,,Spot,7,Image 1,1,1436,
1018,,Spot,7,Image 1,1,1439,
416,,Spot,7,Image 1,1,1440,
1134,,Spot,7,Image 1,1,1444,
681,,Spot,7,Image 1,1,1445,
1132,,Spot,7,Image 1,1,1446,
1245,,Spot,7,Image 1,1,1447,
1096,,Spot,7,Image 1,1,1448,
697,,Spot,7,Image 1,1,1452,
1100,,Spot,7,Image 1,1,1456,
1112,,Spot,7,Image 1,1,1457,
490,,Spot,7,Image 1,1,1460,
1102,,Spot,7,Image 1,1,1461,
797,,Spot,7,Image 1,1,1463,
922,,Spot,7,Image 1,1,1471,
999,,Spot,7,Image 1,1,1478,
730,,Spot,7,Image 1,1,1480,
1033,,Spot,7,Image 1,1,1489,
1173,,Spot,7,Image 1,1,1493,
1140,,Spot,7,Image 1,1,1495,
1251,,Spot,7,Image 1,1,1496,
1220,,Spot,7,Image 1,1,1506,
995,,Spot,7,Image 1,1,1508,
1143,,Spot,7,Image 1,1,1509,
1250,,Spot,7,Image 1,1,1513,
336,,Spot,7,Image 1,1,1534,
80,,Spot,7,Image 1,1,1537,
0,,Spot,7,Image 1,1,1543,
1105,,Spot,7,Image 1,1,1546,
679,,Spot,7,Image 1,1,1547,
473,,Spot,7,Image 1,1,1552,
0,,Spot,7,Image 1,1,1553,
876,,Spot,7,Image 1,1,1555,
771,,Spot,7,Image 1,1,1567,
1308,,Spot,7,Image 1,1,1569,
802,,Spot,7,Image 1,1,1572,
370,,Spot,7,Image 1,1,1576,
498,,Spot,7,Image 1,1,1589,
1374,,Spot,7,Image 1,1,1595,
1202,,Spot,7,Image 1,1,1615,
668,,Spot,7,Image 1,1,1620,
683,,Spot,7,Image 1,1,1634,
411,,Spot,7,Image 1,1,1650,
1336,,Spot,7,Image 1,1,1651,
903,,Spot,7,Image 1,1,1656,
433,,Spot,7,Image 1,1,1657,
1195,,Spot,7,Image 1,1,1662,
1034,,Spot,7,Image 1,1,1665,
260,,Spot,7,Image 1,1,1684,
797,,Spot,7,Image 1,1,1690,
376,,Spot,7,Image 1,1,1692,
151,,Spot,7,Image 1,1,1694,
785,,Spot,7,Image 1,1,1695,
455,,Spot,7,Image 1,1,1697,
121,,Spot,7,Image 1,1,1699,
0,,Spot,7,Image 1,1,1700,
26,,Spot,7,Image 1,1,1706,
147,,Spot,7,Image 1,1,1710,
656,,Spot,7,Image 1,1,1721,
486,,Spot,7,Image 1,1,1725,
465,,Spot,7,Image 1,1,1726,
0,,Spot,7,Image 1,1,1732,
748,,Spot,7,Image 1,1,1752,
1028,,Spot,7,Image 1,1,1768,
632,,Spot,7,Image 1,1,1769,
122,,Spot,7,Image 1,1,1775,
581,,Spot,7,Image 1,1,1788,
443,,Spot,7,Image 1,1,1815,
743,,Spot,7,Image 1,1,1818,
507,,Spot,7,Image 1,1,1824,
287,,Spot,7,Image 1,1,1825,
1367,,Spot,7,Image 1,1,1837,
990,,Spot,7,Image 1,1,1844,
1339,,Spot,7,Image 1,1,1845,
973,,Spot,7,Image 1,1,1851,
800,,Spot,7,Image 1,1,1857,
163,,Spot,7,Image 1,1,1858,
385,,Spot,7,Image 1,1,1864,
1091,,Spot,7,Image 1,1,1865,
266,,Spot,7,Image 1,1,1870,
1063,,Spot,7,Image 1,1,1871,
371,,Spot,7,Image 1,1,1893,
525,,Spot,7,Image 1,1,1896,
1307,,Spot,7,Image 1,1,1898,
610,,Spot,7,Image 1,1,1902,
725,,Spot,7,Image 1,1,1914,
1004,,Spot,7,Image 1,1,1915,
1231,,Spot,7,Image 1,1,1920,
391,,Spot,7,Image 1,1,1929,
719,,Spot,7,Image 1,1,1936,
0,,Spot,7,Image 1,1,1938,
985,,Spot,7,Image 1,1,1941,
1101,,Spot,7,Image 1,1,1943,
389,,Spot,7,Image 1,1,1945,
1055,,Spot,7,Image 1,1,1947,
899,,Spot,7,Image 1,1,1948,
719,,Spot,7,Image 1,1,1952,
886,,Spot,7,Image 1,1,1954,
794,,Spot,7,Image 1,1,1956,
888,,Spot,7,Image 1,1,1957,
1129,,Spot,7,Image 1,1,1963,
673,,Spot,7,Image 1,1,1974,
610,,Spot,7,Image 1,1,1976,
868,,Spot,7,Image 1,1,1983,
81,,Spot,7,Image 1,1,1985,
256,,Spot,7,Image 1,1,1990,
1216,,Spot,7,Image 1,1,2000,
1221,,Spot,7,Image 1,1,2004,
599,,Spot,7,Image 1,1,2005,
1304,,Spot,7,Image 1,1,2007,
1276,,Spot,7,Image 1,1,2008,
1255,,Spot,7,Image 1,1,2014,
559,,Spot,7,Image 1,1,2034,
1573,,Spot,7,Image 1,1,2037,
692,,Spot,7,Image 1,1,2038,
1216,,Spot,7,Image 1,1,2042,
1328,,Spot,7,Image 1,1,2043,
168,,Spot,7,Image 1,1,2044,
1022,,Spot,7,Image 1,1,2045,
1029,,Spot,7,Image 1,1,2052,
1232,,Spot,7,Image 1,1,2053,
1048,,Spot,7,Image 1,1,2054,
628,,Spot,7,Image 1,1,2055,
768,,Spot,7,Image 1,1,2057,
157,,Spot,7,Image 1,1,2058,
413,,Spot,7,Image 1,1,2060,
984,,Spot,7,Image 1,1,2061,
1217,,Spot,7,Image 1,1,2072,
1381,,Spot,7,Image 1,1,2073,
1600,,Spot,7,Image 1,1,2078,
1397,,Spot,7,Image 1,1,2085,
1095,,Spot,7,Image 1,1,2098,
578,,Spot,7,Image 1,1,2102,
1074,,Spot,7,Image 1,1,2103,
664,,Spot,7,Image 1,1,2148,
803,,Spot,7,Image 1,1,2177,
795,,Spot,7,Image 1,1,2189,
1023,,Spot,7,Image 1,1,2191,
1055,,Spot,7,Image 1,1,2193,
937,,Spot,7,Image 1,1,2194,
1009,,Spot,7,Image 1,1,2196,
1203,,Spot,7,Image 1,1,2197,
869,,Spot,7,Image 1,1,2198,
825,,Spot,7,Image 1,1,2199,
510,,Spot,7,Image 1,1,2200,
983,,Spot,7,Image 1,1,2201,
1135,,Spot,7,Image 1,1,2203,
550,,Spot,7,Image 1,1,2211,
1197,,Spot,7,Image 1,1,2212,
1166,,Spot,7,Image 1,1,2230,
1013,,Spot,7,Image 1,1,2261,
451,,Spot,7,Image 1,1,2266,
498,,Spot,7,Image 1,1,2273,
537,,Spot,7,Image 1,1,2457,
355,,Spot,7,Image 1,1,2458,
1095,,Spot,7,Image 1,1,2471,
481,,Spot,7,Image 1,1,2552,
1068,,Spot,7,Image 1,1,2661,
336,,Spot,7,Image 1,2,2937,
761,,Spot,7,Image 1,2,2938,
380,,Spot,7,Image 1,2,2939,
875,,Spot,7,Image 1,2,2971,
1158,,Spot,7,Image 1,2,3016,
1051,,Spot,7,Image 1,2,3018,
1074,,Spot,7,Image 1,2,3045,
949,,Spot,7,Image 1,2,3046,
801,,Spot,7,Image 1,2,3056,
979,,Spot,7,Image 1,2,3065,
449,,Spot,7,Image 1,2,3101,
635,,Spot,7,Image 1,2,3127,
655,,Spot,7,Image 1,2,3132,
511,,Spot,7,Image 1,2,3135,
1273,,Spot,7,Image 1,2,3140,
853,,Spot,7,Image 1,2,3144,
