
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
20,,Spot,2,Image 1,1,1098,
23,,Spot,2,Image 1,1,1101,
18,,Spot,2,Image 1,1,1105,
17,,Spot,2,Image 1,1,1108,
24,,Spot,2,Image 1,1,1109,
21,,Spot,2,Image 1,1,1113,
19,,Spot,2,Image 1,1,1124,
23,,Spot,2,Image 1,1,1132,
21,,Spot,2,Image 1,1,1133,
20,,Spot,2,Image 1,1,1139,
19,,Spot,2,Image 1,1,1146,
14,,Spot,2,Image 1,1,1149,
15,,Spot,2,Image 1,1,1150,
19,,Spot,2,Image 1,1,1153,
18,,Spot,2,Image 1,1,1154,
22,,Spot,2,Image 1,1,1158,
19,,Spot,2,Image 1,1,1165,
23,,Spot,2,Image 1,1,1169,
20,,Spot,2,Image 1,1,1180,
22,,Spot,2,Image 1,1,1184,
13,,Spot,2,Image 1,1,1185,
19,,Spot,2,Image 1,1,1189,
21,,Spot,2,Image 1,1,1193,
22,,Spot,2,Image 1,1,1196,
21,,Spot,2,Image 1,1,1198,
17,,Spot,2,Image 1,1,1199,
20,,Spot,2,Image 1,1,1201,
21,,Spot,2,Image 1,1,1203,
17,,Spot,2,Image 1,1,1209,
20,,Spot,2,Image 1,1,1210,
14,,Spot,2,Image 1,1,1211,
22,,Spot,2,Image 1,1,1213,
14,,Spot,2,Image 1,1,1216,
20,,Spot,2,Image 1,1,1217,
17,,Spot,2,Image 1,1,1218,
19,,Spot,2,Image 1,1,1226,
20,,Spot,2,Image 1,1,1228,
18,,Spot,2,Image 1,1,1229,
22,,Spot,2,Image 1,1,1232,
13,,Spot,2,Image 1,1,1237,
17,,Spot,2,Image 1,1,1241,
18,,Spot,2,Image 1,1,1242,
20,,Spot,2,Image 1,1,1243,
20,,Spot,2,Image 1,1,1246,
16,,Spot,2,Image 1,1,1258,
19,,Spot,2,Image 1,1,1262,
20,,Spot,2,Image 1,1,1264,
24,,Spot,2,Image 1,1,1271,
14,,Spot,2,Image 1,1,1284,
0,,Spot,2,Image 1,1,1288,
21,,Spot,2,Image 1,1,1291,
0,,Spot,2,Image 1,1,1301,
23,,Spot,2,Image 1,1,1303,
21,,Spot,2,Image 1,1,1326,
18,,Spot,2,Image 1,1,1327,
27,,Spot,2,Image 1,1,1328,
21,,Spot,2,Image 1,1,1331,
22,,Spot,2,Image 1,1,1332,
17,,Spot,2,Image 1,1,1334,
27,,Spot,2,Image 1,1,1336,
19,,Spot,2,Image 1,1,1339,
25,,Spot,2,Image 1,1,1341,
13,,Spot,2,Image 1,1,1346,
22,,Spot,2,Image 1,1,1347,
17,,Spot,2,Image 1,1,1351,
20,,Spot,2,Image 1,1,1353,
18,,Spot,2,Image 1,1,1354,
18,,Spot,2,Image 1,1,1355,
27,,Spot,2,Image 1,1,1357,
21,,Spot,2,Image 1,1,1358,
21,,Spot,2,Image 1,1,1359,
21,,Spot,2,Image 1,1,1361,
19,,Spot,2,Image 1,1,1362,
15,,Spot,2,Image 1,1,1364,
24,,Spot,2,Image 1,1,1370,
10,,Spot,2,Image 1,1,1371,
20,,Spot,2,Image 1,1,1372,
19,,Spot,2,Image 1,1,1373,
25,,Spot,2,Image 1,1,1375,
22,,Spot,2,Image 1,1,1376,
21,,Spot,2,Image 1,1,1382,
23,,Spot,2,Image 1,1,1383,
19,,Spot,2,Image 1,1,1389,
23,,Spot,2,Image 1,1,1390,
20,,Spot,2,Image 1,1,1392,
18,,Spot,2,Image 1,1,1399,
19,,Spot,2,Image 1,1,1402,
17,,Spot,2,Image 1,1,1406,
22,,Spot,2,Image 1,1,1410,
21,,Spot,2,Image 1,1,1411,
21,,Spot,2,Image 1,1,1415,
17,,Spot,2,Image 1,1,1420,
18,,Spot,2,Image 1,1,1435,
21,,Spot,2,Image 1,1,1436,
15,,Spot,2,Image 1,1,1439,
22,,Spot,2,Image 1,1,1440,
21,,Spot,2,Image 1,1,1444,
18,,Spot,2,Image 1,1,1445,
22,,Spot,2,Image 1,1,1446,
19,,Spot,2,Image 1,1,1447,
21,,Spot,2,Image 1,1,1448,
12,,Spot,2,Image 1,1,1452,
20,,Spot,2,Image 1,1,1456,
13,,Spot,2,Image 1,1,1457,
14,,Spot,2,Image 1,1,1460,
21,,Spot,2,Image 1,1,1461,
21,,Spot,2,Image 1,1,1463,
25,,Spot,2,Image 1,1,1471,
22,,Spot,2,Image 1,1,1478,
17,,Spot,2,Image 1,1,1480,
25,,Spot,2,Image 1,1,1489,
18,,Spot,2,Image 1,1,1493,
18,,Spot,2,Image 1,1,1495,
18,,Spot,2,Image 1,1,1496,
17,,Spot,2,Image 1,1,1506,
19,,Spot,2,Image 1,1,1508,
20,,Spot,2,Image 1,1,1509,
14,,Spot,2,Image 1,1,1513,
29,,Spot,2,Image 1,1,1534,
21,,Spot,2,Image 1,1,1537,
22,,Spot,2,Image 1,1,1543,
20,,Spot,2,Image 1,1,1546,
21,,Spot,2,Image 1,1,1547,
21,,Spot,2,Image 1,1,1552,
0,,Spot,2,Image 1,1,1553,
16,,Spot,2,Image 1,1,1555,
23,,Spot,2,Image 1,1,1567,
19,,Spot,2,Image 1,1,1569,
19,,Spot,2,Image 1,1,1572,
22,,Spot,2,Image 1,1,1576,
22,,Spot,2,Image 1,1,1589,
18,,Spot,2,Image 1,1,1595,
16,,Spot,2,Image 1,1,1615,
20,,Spot,2,Image 1,1,1620,
19,,Spot,2,Image 1,1,1634,
17,,Spot,2,Image 1,1,1650,
18,,Spot,2,Image 1,1,1651,
20,,Spot,2,Image 1,1,1656,
17,,Spot,2,Image 1,1,1657,
17,,Spot,2,Image 1,1,1662,
19,,Spot,2,Image 1,1,1665,
0,,Spot,2,Image 1,1,1684,
15,,Spot,2,Image 1,1,1690,
0,,Spot,2,Image 1,1,1692,
17,,Spot,2,Image 1,1,1694,
0,,Spot,2,Image 1,1,1695,
0,,Spot,2,Image 1,1,1697,
20,,Spot,2,Image 1,1,1699,
15,,Spot,2,Image 1,1,1700,
