
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
14608,,Spot,2,Image 1,1,1288,
15597,,Spot,2,Image 1,1,1291,
10974,,Spot,2,Image 1,1,1301,
49307,,Spot,2,Image 1,1,1303,
24110,,Spot,2,Image 1,1,1326,
26983,,Spot,2,Image 1,1,1327,
22278,,Spot,2,Image 1,1,1328,
33572,,Spot,2,Image 1,1,1331,
26222,,Spot,2,Image 1,1,1332,
19877,,Spot,2,Image 1,1,1334,
27017,,Spot,2,Image 1,1,1336,
23064,,Spot,2,Image 1,1,1339,
19775,,Spot,2,Image 1,1,1341,
18298,,Spot,2,Image 1,1,1346,
19197,,Spot,2,Image 1,1,1347,
28101,,Spot,2,Image 1,1,1351,
24593,,Spot,2,Image 1,1,1353,
23909,,Spot,2,Image 1,1,1354,
28198,,Spot,2,Image 1,1,1355,
26290,,Spot,2,Image 1,1,1357,
18967,,Spot,2,Image 1,1,1358,
20750,,Spot,2,Image 1,1,1359,
29253,,Spot,2,Image 1,1,1361,
21976,,Spot,2,Image 1,1,1362,
19080,,Spot,2,Image 1,1,1364,
24756,,Spot,2,Image 1,1,1370,
24837,,Spot,2,Image 1,1,1371,
37278,,Spot,2,Image 1,1,1372,
26090,,Spot,2,Image 1,1,1373,
20920,,Spot,2,Image 1,1,1375,
24500,,Spot,2,Image 1,1,1376,
17543,,Spot,2,Image 1,1,1382,
16417,,Spot,2,Image 1,1,1383,
19997,,Spot,2,Image 1,1,1389,
23679,,Spot,2,Image 1,1,1390,
24632,,Spot,2,Image 1,1,1392,
19432,,Spot,2,Image 1,1,1399,
21410,,Spot,2,Image 1,1,1402,
19508,,Spot,2,Image 1,1,1406,
16454,,Spot,2,Image 1,1,1410,
17240,,Spot,2,Image 1,1,1411,
18502,,Spot,2,Image 1,1,1415,
17726,,Spot,2,Image 1,1,1420,
16271,,Spot,2,Image 1,1,1435,
22186,,Spot,2,Image 1,1,1436,
18589,,Spot,2,Image 1,1,1439,
15705,,Spot,2,Image 1,1,1440,
15503,,Spot,2,Image 1,1,1444,
16347,,Spot,2,Image 1,1,1445,
16254,,Spot,2,Image 1,1,1446,
16741,,Spot,2,Image 1,1,1447,
21878,,Spot,2,Image 1,1,1448,
14620,,Spot,2,Image 1,1,1452,
17322,,Spot,2,Image 1,1,1456,
16692,,Spot,2,Image 1,1,1457,
17696,,Spot,2,Image 1,1,1460,
17478,,Spot,2,Image 1,1,1461,
18190,,Spot,2,Image 1,1,1463,
14929,,Spot,2,Image 1,1,1471,
16138,,Spot,2,Image 1,1,1478,
16391,,Spot,2,Image 1,1,1480,
16304,,Spot,2,Image 1,1,1489,
