
Area
 ==================== 
Area,Unit,Category,Time,ID,
305.43,µm^2,Spot,1,794,
305.43,µm^2,Spot,1,797,
305.43,µm^2,Spot,1,798,
305.43,µm^2,Spot,1,800,
305.43,µm^2,Spot,1,809,
305.43,µm^2,Spot,1,812,
305.43,µm^2,Spot,1,814,
305.43,µm^2,Spot,1,822,
305.43,µm^2,Spot,1,823,
305.43,µm^2,Spot,1,825,
305.43,µm^2,Spot,1,829,
305.43,µm^2,Spot,1,830,
305.43,µm^2,Spot,1,835,
305.43,µm^2,Spot,1,837,
305.43,µm^2,Spot,1,845,
305.43,µm^2,Spot,1,889,
305.43,µm^2,Spot,1,900,
305.43,µm^2,Spot,1,903,
305.43,µm^2,Spot,1,905,
305.43,µm^2,Spot,1,906,
305.43,µm^2,Spot,1,914,
305.43,µm^2,Spot,1,917,
305.43,µm^2,Spot,1,921,
305.43,µm^2,Spot,1,923,
305.43,µm^2,Spot,1,933,
305.43,µm^2,Spot,1,936,
305.43,µm^2,Spot,1,937,
305.43,µm^2,Spot,1,939,
305.43,µm^2,Spot,1,941,
305.43,µm^2,Spot,1,949,
305.43,µm^2,Spot,1,952,
305.43,µm^2,Spot,1,965,
305.43,µm^2,Spot,1,978,
305.43,µm^2,Spot,1,989,
305.43,µm^2,Spot,1,994,
305.43,µm^2,Spot,1,997,
305.43,µm^2,Spot,1,1010,
305.43,µm^2,Spot,1,1018,
305.43,µm^2,Spot,1,1021,
305.43,µm^2,Spot,1,1033,
305.43,µm^2,Spot,1,1041,
305.43,µm^2,Spot,1,1043,
305.43,µm^2,Spot,1,1048,
305.43,µm^2,Spot,1,1054,
305.43,µm^2,Spot,1,1064,
305.43,µm^2,Spot,1,1065,
305.43,µm^2,Spot,1,1070,
305.43,µm^2,Spot,1,1073,
305.43,µm^2,Spot,1,1076,
305.43,µm^2,Spot,1,1077,
305.43,µm^2,Spot,1,1085,
305.43,µm^2,Spot,1,1091,
305.43,µm^2,Spot,1,1093,
305.43,µm^2,Spot,1,1094,
305.43,µm^2,Spot,1,1096,
305.43,µm^2,Spot,1,1098,
305.43,µm^2,Spot,1,1101,
305.43,µm^2,Spot,1,1105,
305.43,µm^2,Spot,1,1108,
305.43,µm^2,Spot,1,1109,
305.43,µm^2,Spot,1,1113,
305.43,µm^2,Spot,1,1124,
305.43,µm^2,Spot,1,1132,
305.43,µm^2,Spot,1,1133,
305.43,µm^2,Spot,1,1139,
305.43,µm^2,Spot,1,1146,
305.43,µm^2,Spot,1,1149,
305.43,µm^2,Spot,1,1150,
305.43,µm^2,Spot,1,1153,
305.43,µm^2,Spot,1,1154,
305.43,µm^2,Spot,1,1158,
305.43,µm^2,Spot,1,1165,
305.43,µm^2,Spot,1,1169,
305.43,µm^2,Spot,1,1180,
305.43,µm^2,Spot,1,1184,
305.43,µm^2,Spot,1,1185,
305.43,µm^2,Spot,1,1189,
305.43,µm^2,Spot,1,1193,
305.43,µm^2,Spot,1,1196,
305.43,µm^2,Spot,1,1198,
305.43,µm^2,Spot,1,1199,
305.43,µm^2,Spot,1,1201,
305.43,µm^2,Spot,1,1203,
305.43,µm^2,Spot,1,1209,
305.43,µm^2,Spot,1,1210,
305.43,µm^2,Spot,1,1211,
305.43,µm^2,Spot,1,1213,
305.43,µm^2,Spot,1,1216,
305.43,µm^2,Spot,1,1217,
305.43,µm^2,Spot,1,1218,
305.43,µm^2,Spot,1,1226,
305.43,µm^2,Spot,1,1228,
305.43,µm^2,Spot,1,1229,
305.43,µm^2,Spot,1,1232,
305.43,µm^2,Spot,1,1237,
305.43,µm^2,Spot,1,1241,
305.43,µm^2,Spot,1,1242,
