
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
108.503,,Spot,4,Image 1,1,1543,
235.757,,Spot,4,Image 1,1,1546,
184.474,,Spot,4,Image 1,1,1547,
129.738,,Spot,4,Image 1,1,1552,
221.293,,Spot,4,Image 1,1,1553,
144.321,,Spot,4,Image 1,1,1555,
256.402,,Spot,4,Image 1,1,1567,
127.021,,Spot,4,Image 1,1,1569,
168.597,,Spot,4,Image 1,1,1572,
158.892,,Spot,4,Image 1,1,1576,
172.34,,Spot,4,Image 1,1,1589,
151.799,,Spot,4,Image 1,1,1595,
200.751,,Spot,4,Image 1,1,1615,
187.132,,Spot,4,Image 1,1,1620,
154.906,,Spot,4,Image 1,1,1634,
137.533,,Spot,4,Image 1,1,1650,
155.643,,Spot,4,Image 1,1,1651,
129.055,,Spot,4,Image 1,1,1656,
162.747,,Spot,4,Image 1,1,1657,
216.782,,Spot,4,Image 1,1,1662,
178.043,,Spot,4,Image 1,1,1665,
122.1,,Spot,4,Image 1,1,1684,
152.291,,Spot,4,Image 1,1,1690,
248.711,,Spot,4,Image 1,1,1692,
224.905,,Spot,4,Image 1,1,1694,
98.6971,,Spot,4,Image 1,1,1695,
205.409,,Spot,4,Image 1,1,1697,
162.548,,Spot,4,Image 1,1,1699,
114.492,,Spot,4,Image 1,1,1700,
181.527,,Spot,4,Image 1,1,1706,
94.8825,,Spot,4,Image 1,1,1710,
143.835,,Spot,4,Image 1,1,1721,
161.634,,Spot,4,Image 1,1,1725,
144.676,,Spot,4,Image 1,1,1726,
188.834,,Spot,4,Image 1,1,1732,
166.124,,Spot,4,Image 1,1,1752,
110.288,,Spot,4,Image 1,1,1768,
163.246,,Spot,4,Image 1,1,1769,
157.197,,Spot,4,Image 1,1,1775,
159.119,,Spot,4,Image 1,1,1788,
202.625,,Spot,4,Image 1,1,1815,
196.299,,Spot,4,Image 1,1,1818,
135.128,,Spot,4,Image 1,1,1824,
92.1371,,Spot,4,Image 1,1,1825,
143.374,,Spot,4,Image 1,1,1837,
275.359,,Spot,4,Image 1,1,1844,
177.411,,Spot,4,Image 1,1,1845,
220.205,,Spot,4,Image 1,1,1851,
177.339,,Spot,4,Image 1,1,1857,
92.1399,,Spot,4,Image 1,1,1858,
99.2819,,Spot,4,Image 1,1,1864,
294.497,,Spot,4,Image 1,1,1865,
