
Average Distance To 5 Nearest Neighbours
 ==================== 
Average Distance To 5 Nearest Neighbours,Unit,Category,Time,ID,
35.9752,µm,Spot,1,1976,
33.3153,µm,Spot,1,1983,
32.6912,µm,Spot,1,1985,
27.0215,µm,Spot,1,1990,
25.5101,µm,Spot,1,2000,
22.9426,µm,Spot,1,2004,
29.4738,µm,Spot,1,2005,
37.7453,µm,Spot,1,2007,
33.5233,µm,Spot,1,2008,
30.9216,µm,Spot,1,2014,
23.3429,µm,Spot,1,2034,
22.4639,µm,Spot,1,2037,
21.3215,µm,Spot,1,2038,
23.8072,µm,Spot,1,2042,
29.3206,µm,Spot,1,2043,
25.7295,µm,Spot,1,2044,
28.2915,µm,Spot,1,2045,
29.6545,µm,Spot,1,2052,
18.9799,µm,Spot,1,2053,
21.0904,µm,Spot,1,2054,
24.7397,µm,Spot,1,2055,
26.3743,µm,Spot,1,2057,
34.2199,µm,Spot,1,2058,
26.7463,µm,Spot,1,2060,
32.9349,µm,Spot,1,2061,
31.0502,µm,Spot,1,2072,
24.5261,µm,Spot,1,2073,
22.8372,µm,Spot,1,2078,
34.5685,µm,Spot,1,2085,
52.9169,µm,Spot,1,2098,
37.1765,µm,Spot,1,2102,
52.3959,µm,Spot,1,2103,
32.9532,µm,Spot,1,2148,
51.6887,µm,Spot,1,2177,
35.0066,µm,Spot,1,2189,
25.4263,µm,Spot,1,2191,
23.0887,µm,Spot,1,2193,
27.143,µm,Spot,1,2194,
26.0363,µm,Spot,1,2196,
23.8739,µm,Spot,1,2197,
26.9422,µm,Spot,1,2198,
27.8284,µm,Spot,1,2199,
26.1511,µm,Spot,1,2200,
24.592,µm,Spot,1,2201,
28.2998,µm,Spot,1,2203,
28.6249,µm,Spot,1,2211,
28.1701,µm,Spot,1,2212,
34.4357,µm,Spot,1,2230,
30.8688,µm,Spot,1,2261,
30.7003,µm,Spot,1,2266,
24.4835,µm,Spot,1,2273,
55.0235,µm,Spot,1,2457,
45.1358,µm,Spot,1,2458,
58.6572,µm,Spot,1,2471,
46.7783,µm,Spot,1,2552,
82.7025,µm,Spot,1,2661,
43.6061,µm,Spot,2,2937,
53.1985,µm,Spot,2,2938,
36.4439,µm,Spot,2,2939,
54.4718,µm,Spot,2,2971,
40.7577,µm,Spot,2,3016,
29.276,µm,Spot,2,3018,
54.8776,µm,Spot,2,3045,
54.8056,µm,Spot,2,3046,
36.5795,µm,Spot,2,3056,
41.7806,µm,Spot,2,3065,
36.0234,µm,Spot,2,3101,
40.0245,µm,Spot,2,3127,
35.3075,µm,Spot,2,3132,
42.0323,µm,Spot,2,3135,
37.8547,µm,Spot,2,3140,
33.3097,µm,Spot,2,3144,
34.9317,µm,Spot,2,3150,
39.7262,µm,Spot,2,3154,
41.277,µm,Spot,2,3160,
36.2516,µm,Spot,2,3175,
39.8731,µm,Spot,2,3176,
34.0515,µm,Spot,2,3177,
21.6664,µm,Spot,2,3184,
35.03,µm,Spot,2,3185,
21.6071,µm,Spot,2,3187,
39.4548,µm,Spot,2,3213,
36.3834,µm,Spot,2,3220,
37.4892,µm,Spot,2,3235,
30.3843,µm,Spot,2,3242,
25.5294,µm,Spot,2,3243,
27.2707,µm,Spot,2,3244,
28.4666,µm,Spot,2,3245,
25.2849,µm,Spot,2,3248,
26.9181,µm,Spot,2,3250,
44.7753,µm,Spot,2,3262,
49.1257,µm,Spot,2,3264,
38.9824,µm,Spot,2,3265,
33.9553,µm,Spot,2,3279,
39.2361,µm,Spot,2,3280,
32.7834,µm,Spot,2,3295,
37.1275,µm,Spot,2,3329,
42.3502,µm,Spot,2,3330,
44.4035,µm,Spot,2,3334,
33.9417,µm,Spot,2,3339,
50.6597,µm,Spot,2,3340,
49.8081,µm,Spot,2,3350,
36.1421,µm,Spot,2,3358,
31.3567,µm,Spot,2,3359,
37.9004,µm,Spot,2,3376,
35.044,µm,Spot,2,3402,
35.0885,µm,Spot,2,3412,
22.0587,µm,Spot,2,3414,
22.3522,µm,Spot,2,3415,
26.7109,µm,Spot,2,3419,
30.2459,µm,Spot,2,3420,
34.819,µm,Spot,2,3425,
95.2968,µm,Spot,2,3434,
60.9432,µm,Spot,2,3446,
56.0185,µm,Spot,2,3451,
23.3193,µm,Spot,2,3467,
28.7449,µm,Spot,2,3469,
38.2093,µm,Spot,2,3470,
23.3075,µm,Spot,2,3472,
27.1813,µm,Spot,2,3474,
34.4036,µm,Spot,2,3475,
26.0304,µm,Spot,2,3477,
27.7307,µm,Spot,2,3479,
26.694,µm,Spot,2,3480,
26.4433,µm,Spot,2,3481,
21.0825,µm,Spot,2,3483,
29.1201,µm,Spot,2,3484,
21.183,µm,Spot,2,3491,
27.1417,µm,Spot,2,3492,
26.452,µm,Spot,2,3497,
48.4432,µm,Spot,2,3499,
24.3109,µm,Spot,2,3503,
24.7552,µm,Spot,2,3510,
25.2023,µm,Spot,2,3512,
35.7391,µm,Spot,2,3517,
24.3725,µm,Spot,2,3518,
25.2941,µm,Spot,2,3521,
36.8275,µm,Spot,2,3525,
28.4317,µm,Spot,2,3527,
42.4154,µm,Spot,2,3532,
25.8399,µm,Spot,2,3536,
25.4043,µm,Spot,2,3539,
46.1914,µm,Spot,2,3563,
48.4781,µm,Spot,2,3577,
22.0773,µm,Spot,2,3588,
36.0763,µm,Spot,2,3590,
60.4762,µm,Spot,2,3591,
25.9377,µm,Spot,2,3605,
28.4402,µm,Spot,2,3608,
21.5353,µm,Spot,2,3611,
25.3945,µm,Spot,2,3612,
32.3136,µm,Spot,2,3615,
43.7729,µm,Spot,2,3618,
39.64,µm,Spot,2,3619,
29.2715,µm,Spot,2,3620,
34.3396,µm,Spot,2,3622,
27.3484,µm,Spot,2,3633,
40.7455,µm,Spot,2,3635,
43.8538,µm,Spot,2,3636,
26.5677,µm,Spot,2,3637,
38.7261,µm,Spot,2,3675,
48.6693,µm,Spot,2,3679,
55.0777,µm,Spot,2,3686,
91.4621,µm,Spot,2,3687,
33.9648,µm,Spot,2,3688,
29.8408,µm,Spot,2,3693,
29.6994,µm,Spot,2,3696,
43.5916,µm,Spot,2,3702,
41.5912,µm,Spot,2,3729,
56.3293,µm,Spot,2,3732,
45.9576,µm,Spot,2,3748,
39.9438,µm,Spot,2,3749,
41.6715,µm,Spot,2,3758,
32.1365,µm,Spot,2,3760,
23.1456,µm,Spot,2,3763,
20.896,µm,Spot,2,3768,
34.7939,µm,Spot,2,3771,
27.9508,µm,Spot,2,3776,
42.7083,µm,Spot,2,3778,
29.6275,µm,Spot,2,3783,
24.5397,µm,Spot,2,3787,
25.7657,µm,Spot,2,3802,
26.7746,µm,Spot,2,3805,
26.0161,µm,Spot,2,3809,
27.0378,µm,Spot,2,3812,
28.4723,µm,Spot,2,3813,
29.952,µm,Spot,2,3815,
30.7305,µm,Spot,2,3818,
33.8641,µm,Spot,2,3822,
22.8979,µm,Spot,2,3823,
25.3,µm,Spot,2,3825,
19.758,µm,Spot,2,3829,
23.1602,µm,Spot,2,3837,
22.2165,µm,Spot,2,3840,
20.5864,µm,Spot,2,3841,
17.5569,µm,Spot,2,3842,
21.2782,µm,Spot,2,3843,
29.1617,µm,Spot,2,3849,
24.9469,µm,Spot,2,3854,
33.6357,µm,Spot,2,3855,
20.095,µm,Spot,2,3858,
22.674,µm,Spot,2,3859,
24.2642,µm,Spot,2,3863,
28.1951,µm,Spot,2,3867,
25.689,µm,Spot,2,3868,
40.7043,µm,Spot,2,3869,
38.8451,µm,Spot,2,3873,
27.706,µm,Spot,2,3874,
24.9027,µm,Spot,2,3876,
44.4264,µm,Spot,2,3887,
51.5779,µm,Spot,2,3900,
23.3062,µm,Spot,2,3904,
21.9776,µm,Spot,2,3919,
44.0276,µm,Spot,2,3925,
28.2706,µm,Spot,2,3934,
23.1237,µm,Spot,2,3942,
31.7073,µm,Spot,2,3943,
40.0183,µm,Spot,2,3948,
25.7395,µm,Spot,2,3955,
22.7075,µm,Spot,2,3956,
25.9531,µm,Spot,2,3957,
22.8449,µm,Spot,2,3959,
20.6516,µm,Spot,2,3961,
25.4185,µm,Spot,2,3963,
31.6081,µm,Spot,2,3966,
38.2847,µm,Spot,2,3968,
30.4767,µm,Spot,2,3969,
26.1838,µm,Spot,2,3975,
23.3692,µm,Spot,2,3976,
29.7286,µm,Spot,2,3979,
16.4945,µm,Spot,2,3981,
16.0086,µm,Spot,2,3982,
21.0957,µm,Spot,2,3987,
19.6871,µm,Spot,2,3988,
38.5103,µm,Spot,2,3989,
29.1398,µm,Spot,2,3999,
36.203,µm,Spot,2,4002,
42.233,µm,Spot,2,4008,
35.057,µm,Spot,2,4011,
29.4152,µm,Spot,2,4014,
38.2395,µm,Spot,2,4023,
44.3459,µm,Spot,2,4032,
35.9974,µm,Spot,2,4033,
26.9017,µm,Spot,2,4047,
26.1931,µm,Spot,2,4048,
23.3503,µm,Spot,2,4051,
22.736,µm,Spot,2,4052,
23.5939,µm,Spot,2,4053,
19.2835,µm,Spot,2,4056,
40.7775,µm,Spot,2,4058,
29.8948,µm,Spot,2,4059,
28.5505,µm,Spot,2,4062,
35.3327,µm,Spot,2,4064,
34.9574,µm,Spot,2,4079,
23.5774,µm,Spot,2,4081,
26.1451,µm,Spot,2,4082,
28.4309,µm,Spot,2,4083,
27.5031,µm,Spot,2,4085,
23.8252,µm,Spot,2,4088,
33.0171,µm,Spot,2,4090,
20.8687,µm,Spot,2,4092,
24.3895,µm,Spot,2,4103,
37.4381,µm,Spot,2,4104,
37.9058,µm,Spot,2,4107,
28.4162,µm,Spot,2,4109,
29.9182,µm,Spot,2,4121,
26.142,µm,Spot,2,4122,
27.5957,µm,Spot,2,4125,
25.2275,µm,Spot,2,4129,
32.0358,µm,Spot,2,4138,
29.4432,µm,Spot,2,4140,
25.3407,µm,Spot,2,4141,
22.9293,µm,Spot,2,4146,
27.9688,µm,Spot,2,4148,
34.7777,µm,Spot,2,4150,
25.6745,µm,Spot,2,4151,
22.5458,µm,Spot,2,4152,
24.3087,µm,Spot,2,4158,
24.8791,µm,Spot,2,4160,
31.7899,µm,Spot,2,4163,
52.4596,µm,Spot,2,4165,
30.1904,µm,Spot,2,4169,
27.1496,µm,Spot,2,4177,
38.8879,µm,Spot,2,4190,
33.348,µm,Spot,2,4192,
35.4978,µm,Spot,2,4193,
26.1778,µm,Spot,2,4197,
31.5563,µm,Spot,2,4202,
30.7391,µm,Spot,2,4206,
49.2058,µm,Spot,2,4222,
30.9593,µm,Spot,2,4238,
24.0154,µm,Spot,2,4241,
23.6702,µm,Spot,2,4244,
22.5941,µm,Spot,2,4245,
37.9176,µm,Spot,2,4250,
32.7411,µm,Spot,2,4253,
24.0557,µm,Spot,2,4265,
31.194,µm,Spot,2,4268,
30.4829,µm,Spot,2,4272,
18.8592,µm,Spot,2,4273,
26.7031,µm,Spot,2,4274,
20.255,µm,Spot,2,4276,
30.8141,µm,Spot,2,4282,
36.1264,µm,Spot,2,4288,
31.1141,µm,Spot,2,4290,
26.5132,µm,Spot,2,4294,
19.8559,µm,Spot,2,4297,
19.1546,µm,Spot,2,4299,
33.4234,µm,Spot,2,4304,
34.4947,µm,Spot,2,4305,
28.5293,µm,Spot,2,4307,
48.2878,µm,Spot,2,4345,
34.3515,µm,Spot,2,4364,
91.5667,µm,Spot,2,4385,
28.0269,µm,Spot,2,4402,
37.5709,µm,Spot,2,4404,
33.2198,µm,Spot,2,4410,
31.0636,µm,Spot,2,4414,
35.6328,µm,Spot,2,4419,
51.661,µm,Spot,2,4423,
38.6126,µm,Spot,2,4424,
33.673,µm,Spot,2,4431,
30.8472,µm,Spot,2,4438,
25.6628,µm,Spot,2,4448,
31.6141,µm,Spot,2,4450,
36.5669,µm,Spot,2,4464,
40.1576,µm,Spot,2,4467,
29.293,µm,Spot,2,4468,
37.6513,µm,Spot,2,4472,
47.9284,µm,Spot,2,4485,
30.1264,µm,Spot,2,4487,
24.7191,µm,Spot,2,4491,
43.7246,µm,Spot,2,4492,
24.5495,µm,Spot,2,4493,
28.1444,µm,Spot,2,4495,
27.1646,µm,Spot,2,4497,
30.534,µm,Spot,2,4498,
26.5932,µm,Spot,2,4499,
31.8487,µm,Spot,2,4508,
39.6743,µm,Spot,2,4520,
26.6876,µm,Spot,2,4537,
38.5615,µm,Spot,2,4538,
44.3149,µm,Spot,2,4543,
33.3943,µm,Spot,2,4544,
36.1677,µm,Spot,2,4546,
43.4573,µm,Spot,2,4550,
41.511,µm,Spot,2,4554,
29.8325,µm,Spot,2,4562,
31.3502,µm,Spot,2,4563,
29.871,µm,Spot,2,4567,
27.2635,µm,Spot,2,4571,
29.2255,µm,Spot,2,4572,
33.916,µm,Spot,2,4574,
27.3634,µm,Spot,2,4580,
29.0878,µm,Spot,2,4581,
35.4693,µm,Spot,2,4583,
32.0925,µm,Spot,2,4584,
32.3803,µm,Spot,2,4585,
27.0803,µm,Spot,2,4592,
28.2326,µm,Spot,2,4596,
33.1743,µm,Spot,2,4597,
21.7661,µm,Spot,2,4606,
35.975,µm,Spot,2,4609,
51.5098,µm,Spot,2,4616,
35.5558,µm,Spot,2,4618,
38.0015,µm,Spot,2,4621,
51.3408,µm,Spot,2,4623,
27.1753,µm,Spot,2,4651,
46.5327,µm,Spot,2,4680,
25.4541,µm,Spot,2,4694,
25.0664,µm,Spot,2,4698,
26.3023,µm,Spot,2,4699,
23.9109,µm,Spot,2,4700,
28.1002,µm,Spot,2,4701,
24.2894,µm,Spot,2,4702,
30.3199,µm,Spot,2,4704,
32.2106,µm,Spot,2,4705,
26.6913,µm,Spot,2,4706,
28.1994,µm,Spot,2,4707,
28.9928,µm,Spot,2,4715,
36.0416,µm,Spot,2,4718,
24.1093,µm,Spot,2,4721,
32.5519,µm,Spot,2,4734,
36.1348,µm,Spot,2,4764,
49.3583,µm,Spot,2,4765,
26.2109,µm,Spot,2,4768,
53.5387,µm,Spot,2,4920,
42.4725,µm,Spot,2,4922,
55.1347,µm,Spot,2,4931,
35.0694,µm,Spot,2,4941,
48.1086,µm,Spot,2,4991,
62.6441,µm,Spot,2,5111,
67.0854,µm,Spot,2,5131,
55.7348,µm,Spot,3,5245,
51.282,µm,Spot,3,5252,
40.3687,µm,Spot,3,5324,
40.1429,µm,Spot,3,5330,
