
Shortest Distance to Spots Spots=Spots 1
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
51.5272,µm,Spot,Spots 1,1,1355,
41.4005,µm,Spot,Spots 1,1,1357,
26.2111,µm,Spot,Spots 1,1,1358,
20.3329,µm,Spot,Spots 1,1,1359,
54.9207,µm,Spot,Spots 1,1,1361,
19.8539,µm,Spot,Spots 1,1,1362,
24.4863,µm,Spot,Spots 1,1,1364,
41.4911,µm,Spot,Spots 1,1,1370,
46.5997,µm,Spot,Spots 1,1,1371,
38.7612,µm,Spot,Spots 1,1,1372,
32.5485,µm,Spot,Spots 1,1,1373,
31.0166,µm,Spot,Spots 1,1,1375,
27.6829,µm,Spot,Spots 1,1,1376,
13.2402,µm,Spot,Spots 1,1,1382,
20.3902,µm,Spot,Spots 1,1,1383,
22.7086,µm,Spot,Spots 1,1,1389,
43.7329,µm,Spot,Spots 1,1,1390,
28.4409,µm,Spot,Spots 1,1,1392,
40.2403,µm,Spot,Spots 1,1,1399,
20.0334,µm,Spot,Spots 1,1,1402,
33.2252,µm,Spot,Spots 1,1,1406,
16.0951,µm,Spot,Spots 1,1,1410,
10.8714,µm,Spot,Spots 1,1,1411,
8.43136,µm,Spot,Spots 1,1,1415,
15.6548,µm,Spot,Spots 1,1,1420,
52.3214,µm,Spot,Spots 1,1,1435,
48.4054,µm,Spot,Spots 1,1,1436,
42.244,µm,Spot,Spots 1,1,1439,
62.4306,µm,Spot,Spots 1,1,1440,
54.6052,µm,Spot,Spots 1,1,1444,
64.9656,µm,Spot,Spots 1,1,1445,
64.7266,µm,Spot,Spots 1,1,1446,
40.3519,µm,Spot,Spots 1,1,1447,
40.2677,µm,Spot,Spots 1,1,1448,
43.8104,µm,Spot,Spots 1,1,1452,
13.3901,µm,Spot,Spots 1,1,1456,
71.2179,µm,Spot,Spots 1,1,1457,
49.7034,µm,Spot,Spots 1,1,1460,
39.4144,µm,Spot,Spots 1,1,1461,
56.3685,µm,Spot,Spots 1,1,1463,
40.4714,µm,Spot,Spots 1,1,1471,
47.2505,µm,Spot,Spots 1,1,1478,
34.446,µm,Spot,Spots 1,1,1480,
