
Intensity Sum of Square Ch=1 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.03132e+06,,Spot,1,Image 1,1,1262,
926652,,Spot,1,Image 1,1,1264,
820330,,Spot,1,Image 1,1,1271,
910330,,Spot,1,Image 1,1,1284,
884981,,Spot,1,Image 1,1,1288,
853860,,Spot,1,Image 1,1,1291,
896917,,Spot,1,Image 1,1,1301,
2.97024e+06,,Spot,1,Image 1,1,1303,
2.22879e+06,,Spot,1,Image 1,1,1326,
3.28504e+06,,Spot,1,Image 1,1,1327,
1.48844e+06,,Spot,1,Image 1,1,1328,
3.87806e+06,,Spot,1,Image 1,1,1331,
3.13428e+06,,Spot,1,Image 1,1,1332,
1.32578e+06,,Spot,1,Image 1,1,1334,
4.0322e+06,,Spot,1,Image 1,1,1336,
2.06295e+06,,Spot,1,Image 1,1,1339,
1.27719e+06,,Spot,1,Image 1,1,1341,
872690,,Spot,1,Image 1,1,1346,
1.01361e+06,,Spot,1,Image 1,1,1347,
2.06921e+06,,Spot,1,Image 1,1,1351,
2.21354e+06,,Spot,1,Image 1,1,1353,
2.21506e+06,,Spot,1,Image 1,1,1354,
2.34202e+06,,Spot,1,Image 1,1,1355,
3.40366e+06,,Spot,1,Image 1,1,1357,
1.3698e+06,,Spot,1,Image 1,1,1358,
1.26242e+06,,Spot,1,Image 1,1,1359,
2.60336e+06,,Spot,1,Image 1,1,1361,
1.50047e+06,,Spot,1,Image 1,1,1362,
1.54124e+06,,Spot,1,Image 1,1,1364,
1.77493e+06,,Spot,1,Image 1,1,1370,
1.9777e+06,,Spot,1,Image 1,1,1371,
4.69408e+06,,Spot,1,Image 1,1,1372,
1.66399e+06,,Spot,1,Image 1,1,1373,
2.4652e+06,,Spot,1,Image 1,1,1375,
2.99466e+06,,Spot,1,Image 1,1,1376,
1.38748e+06,,Spot,1,Image 1,1,1382,
1.13484e+06,,Spot,1,Image 1,1,1383,
1.66448e+06,,Spot,1,Image 1,1,1389,
1.64043e+06,,Spot,1,Image 1,1,1390,
1.93982e+06,,Spot,1,Image 1,1,1392,
1.40448e+06,,Spot,1,Image 1,1,1399,
1.14766e+06,,Spot,1,Image 1,1,1402,
1.13215e+06,,Spot,1,Image 1,1,1406,
1.03586e+06,,Spot,1,Image 1,1,1410,
960474,,Spot,1,Image 1,1,1411,
1.20332e+07,,Spot,1,Image 1,1,1415,
983040,,Spot,1,Image 1,1,1420,
855598,,Spot,1,Image 1,1,1435,
1.62436e+06,,Spot,1,Image 1,1,1436,
812371,,Spot,1,Image 1,1,1439,
964417,,Spot,1,Image 1,1,1440,
1.12003e+06,,Spot,1,Image 1,1,1444,
906519,,Spot,1,Image 1,1,1445,
1.04159e+06,,Spot,1,Image 1,1,1446,
1.12607e+06,,Spot,1,Image 1,1,1447,
1.04998e+06,,Spot,1,Image 1,1,1448,
1.01022e+06,,Spot,1,Image 1,1,1452,
1.11153e+06,,Spot,1,Image 1,1,1456,
961326,,Spot,1,Image 1,1,1457,
1.16322e+06,,Spot,1,Image 1,1,1460,
1.06162e+06,,Spot,1,Image 1,1,1461,
1.07726e+06,,Spot,1,Image 1,1,1463,
827321,,Spot,1,Image 1,1,1471,
1.36173e+06,,Spot,1,Image 1,1,1478,
806064,,Spot,1,Image 1,1,1480,
676318,,Spot,1,Image 1,1,1489,
919410,,Spot,1,Image 1,1,1493,
1.11575e+06,,Spot,1,Image 1,1,1495,
806734,,Spot,1,Image 1,1,1496,
742103,,Spot,1,Image 1,1,1506,
